RPM,Hp,Nm,afr
2194.557239939442,1.91,5.684,13.667
2393.5985811368014,3.083,8.85,13.539
2520.779500970823,4.15,11.449,13.47
2688.452950097082,4.99,13.113,13.284
2860.175652152565,5.636,13.977,13.354
2984.6247080723992,6.188,14.415,13.609
3202.08747080724,6.715,14.714,13.806
3376.4051756521535,7.193,14.911,14.108
3534.4887318509295,7.548,14.885,14.247
3714.788158899379,7.611,14.366,14.212
3871.0859587470813,7.191,13.083,14.189
3993.9925244461365,6.395,11.276,14.015
4099.256395301756,5.715,9.775,13.783
4183.684568101605,5.934,9.806,13.586
4337.547028238732,6.649,10.665,13.504
4486.433274252445,7.463,11.644,13.516
4599.062970282388,6.189,9.51,13.458
4634.165225599668,3.408,5.12,13.365
