RPM,Hp,Nm,afr
1866.9574463064941,1.861,6.733,18.075
1966.8668311580354,4.007,13.19,18.075
2129.5410266821004,6.675,20.506,18.086
2352.1441745166753,9.484,27.335,18.086
2593.085090214567,12.051,32.531,18.075
2837.623335931973,14.17,35.639,18.098
3063.1222290863393,15.889,37.003,18.075
3293.7713999171256,17.435,37.457,18.075
3530.226258215096,19.063,37.815,18.075
3783.1336643584136,20.904,38.505,18.075
4051.794751151713,22.935,39.509,18.086
4314.976993077288,25.05,40.573,17.24
4584.665563448813,27.156,41.473,15.511
4855.004766664933,29.219,42.136,14.525
5130.699692865057,31.206,42.563,13.864
5405.1666381303985,33.003,42.701,13.261
5681.274338535444,34.407,42.394,12.866
5952.255454754914,35.233,41.505,12.669
6208.6154866903835,35.443,40.053,12.495
6442.350771399279,35.172,38.24,12.368
6675.5871346187005,34.624,36.322,12.321
6891.138073357364,33.974,34.492,12.252
7103.1569164147695,33.323,32.833,12.066
7297.1870175722415,32.64,31.292,11.88
7487.654691306539,31.981,29.887,11.753
7668.948356132613,31.211,28.484,11.695
7835.216194202419,30.197,26.958,11.532
7992.927236663874,27.638,24.232,11.474
8110.984428434514,22.372,19.341,11.44
8170.406084907462,14.731,12.611,11.324
8178.111803787938,4.61,3.942,11.358
