RPM,Hp,Nm,afr
3081.962845690851,9.472,20.299,17.959
3345.469622379696,14.549,29.573,18.063
3625.6819521640946,19.348,37.144,18.075
3914.8180273184907,23.33,42.016,18.11
4221.166154645885,26.381,44.306,18.063
4520.168999615025,28.716,44.866,17.506
4825.690506408782,30.666,44.665,15.778
5128.23728435478,32.488,44.349,15.418
5423.2333993555585,34.274,44.12,14.896
5728.354233152482,35.919,43.841,14.688
6019.981158708129,37.182,43.223,14.432
6306.632098409429,37.84,42.055,13.968
6583.718951949741,37.885,40.38,13.69
6830.836636632181,37.544,38.483,13.307
7076.770701943944,37.037,36.621,13.122
7313.519917743085,36.601,35.008,12.959
7538.4708635003,36.12,33.52,12.866
7749.548899647545,35.71,32.21,12.774
7951.9864547733505,33.503,29.523,12.681
8113.667416464576,27.516,23.809,12.588
8189.674330632354,18.86,16.113,12.542
8211.781402170018,7.189,6.116,12.553
