RPM,Hp,Nm,afr
2196.852722800191,2.513,7.775,18.075
2205.1196771453533,4.525,13.348,18.098
2422.814313500808,6.78,19.176,18.005
2555.5394678400894,8.983,24.308,17.564
2770.5496027353556,10.976,28.233,17.274
2918.136628388218,12.848,31.122,16.184
3109.415747982175,14.917,33.674,15.268
3338.6870135471318,17.529,36.611,14.56
3576.8009341957213,20.736,40.086,13.029
3857.827791073786,24.101,43.445,12.46
4075.9000684210187,26.951,45.675,11.869
4455.791570699617,28.952,46.319,11.463
4697.199487217658,30.499,45.994,11.277
4887.773814925067,32.34,45.856,11.184
5174.133593482081,34.65,46.325,11.15
5493.607972727877,36.376,46.288,11.08
5752.510232546462,35.993,44.041,11.057
5971.732343845438,33.252,39.34,10.987
6161.769237859782,29.925,34.221,10.964
6269.873709189974,28.181,31.109,10.871
6480.740628955488,27.69,29.7,10.709
6680.028884789553,26.784,28.138,10.581
6804.188813761318,25.023,25.825,10.512
6920.835910046853,24.522,24.748,10.454
7092.209568415631,29.206,28.638,10.338
7284.186204452337,25.204,24.37,10.349
7337.413538847303,16.346,15.565,10.303
