RPM,Hp,Nm,afr
1825.3994723660019,0.79,3.288,18.063
1843.2542329508856,2.148,7.759,18.063
1953.9682804379454,4.072,13.582,17.472
2116.825399472366,6.362,19.88,16.868
2333.1111113758084,8.71,25.571,15.987
2547.5968254232953,10.828,29.808,15.221
2763.6882539709013,12.564,32.298,14.351
2985.2973968256615,13.962,33.358,13.841
3198.529739682566,15.21,33.679,12.901
3416.281545396828,16.534,33.951,12.391
3645.199583111111,18.075,34.57,11.915
3885.9485297396823,19.841,35.556,11.416
4135.02342440254,21.737,36.682,10.976
4393.8594852973965,23.642,37.687,10.72
4644.743091386882,25.475,38.426,10.488
4900.188594852974,27.205,38.883,10.314
5159.661716628154,28.819,39.107,10.314
5423.109028805673,30.307,39.146,10.222
5679.810902880567,31.661,39.029,10.245
5934.052518859485,32.867,38.765,10.268
6186.262394743091,33.88,38.328,10.314
6434.697668045736,34.613,37.657,10.454
6677.398338233145,34.99,36.705,10.465
6910.596976680458,35.019,35.503,10.639
7128.559697668045,34.778,34.15,10.662
7341.427398338234,34.305,32.701,10.79
7546.642739833823,33.558,31.131,10.802
7736.807131126239,32.46,29.378,10.836
7912.966427398337,31.013,27.444,10.813
8077.010928454119,29.984,25.962,10.79
8230.915378559697,28.408,24.142,10.825
8376.662966427399,25.421,21.268,10.755
8460.880582357026,17.747,14.706,10.802
8469.302343949988,6.241,5.144,10.825
