RPM,Hp,Nm,afr
1890.9733631785957,4.031,13.924,12.948
2046.2401934607167,6.329,20.48,12.808
2252.8383050603575,8.67,26.284,12.542
2477.0695447917496,10.79,30.55,12.321
2703.0640973363174,12.545,33.03,11.985
2920.306409733632,13.962,34.05,11.706
3147.387783830506,15.21,34.291,11.532
3366.5244926687647,16.507,34.45,11.405
3595.581020695447,18.02,34.962,11.115
3834.558102069544,19.788,35.899,10.871
4092.3843816355256,21.729,37.052,10.593
4344.952723877838,23.7,38.124,10.419
4607.7095581020685,25.579,38.904,10.222
4867.913812953064,27.315,39.342,10.164
5129.64852415245,28.914,39.509,10.129
5384.393423843814,30.401,39.501,10.164
5650.939342384381,31.78,39.373,10.256
5911.52250566701,33.024,39.121,10.291
6159.009393423845,34.079,38.705,10.314
6415.900939342385,34.878,38.074,10.326
6657.661522505667,35.368,37.199,10.593
6896.123295107709,35.54,36.1,10.651
7119.969472367914,35.441,34.844,10.883
7340.5683758082205,35.107,33.483,10.894
7546.556837580821,34.491,31.99,10.964
7747.512826615224,33.708,30.463,11.08
7931.894139804379,32.802,28.94,11.092
8107.475128266151,32.015,27.61,11.15
8276.818941398044,29.952,25.346,11.138
8413.39617985409,25.325,21.107,11.092
8487.768189413979,17.43,14.381,11.184
8502.348247512824,6.435,5.287,11.184
