RPM,Hp,Nm,afr
1580.4682926185028,0.898,4.299,18.075
1643.1374941376057,2.589,10.316,18.075
1794.4682154983811,5.032,18.051,18.075
2021.7570969024239,7.986,26.206,18.063
2287.4678520676766,11.097,33.353,18.075
2573.340472245048,14.058,38.543,18.063
2859.415981408521,16.735,41.642,18.075
3143.6984819554928,19.174,43.195,18.075
3442.3080617617006,21.519,43.983,17.762
3749.603539554276,23.89,44.598,18.075
4066.8340947210418,26.315,45.255,18.086
4375.991670049672,28.741,45.883,18.075
4697.0350300002665,31.094,46.337,18.075
5015.640373382833,33.325,46.541,17.054
5330.375320078377,35.394,46.486,16.37
5642.909929590108,37.209,46.14,15.801
5953.411207868346,38.6,45.395,14.989
6256.455962962792,39.406,44.149,14.78
6536.995495557529,39.573,42.41,14.432
6808.031315841852,39.181,40.317,14.131
7059.983789744024,38.403,38.079,13.841
7300.961441432427,37.416,35.872,13.597
7524.521933263458,36.528,33.953,13.365
7739.087519048306,35.414,32.018,13.156
7940.060531622763,34.528,30.413,13.052
8112.474824149516,28.335,24.539,13.017
8189.555071400847,18.356,15.66,13.017
