RPM,Hp,Nm,afr
2524.551502877956,6.235,16.829,18.075
2595.85137670289,8.475,22.532,18.063
2662.415326349534,10.53,27.533,18.052
2734.1660609368396,12.273,31.478,18.075
2800.775096659722,13.666,34.281,18.063
2869.700151175406,14.748,36.086,17.878
2947.347373608107,15.602,37.165,17.738
3025.866812832509,16.309,37.795,16.903
3110.1338510945716,16.931,38.185,16.265
3189.3152719019095,17.498,38.45,15.824
3270.818319643021,18.034,38.65,15.07
3352.5535300775095,18.565,38.833,14.804
3431.481768102091,19.131,39.063,14.177
3512.959497564926,19.775,39.412,14.224
3594.6921761715867,20.521,39.923,13.62
3676.4503496926304,21.366,40.584,13.319
3763.871450063603,22.27,41.324,13.412
3857.519220478058,23.173,42.031,13.226
3946.1292805383714,24.014,42.597,13.052
4037.0657582425165,24.747,42.948,12.414
4119.744311673309,25.352,43.059,12.414
4212.917827393746,25.832,42.955,12.008
4301.480461984657,26.213,42.694,11.614
4392.412197141861,26.536,42.354,11.486
4475.090276317959,26.854,42.021,11.382
4562.603367254438,27.223,41.779,11.242
4647.769770687709,27.689,41.688,11.126
4735.531694049903,28.27,41.768,11.01
4820.7229807257445,28.944,41.981,10.999
4911.317581091442,29.654,42.243,11.126
4996.7921354676355,30.325,42.45,10.964
5087.415062603367,30.908,42.532,11.034
5181.383015694299,31.398,42.485,10.871
5264.36471666377,31.846,42.371,10.941
5351.908169779584,32.319,42.283,10.964
5434.247420751542,32.863,42.284,10.871
5527.3870062260985,33.469,42.368,11.068
5615.946247792422,34.079,42.465,10.952
5704.047454967921,34.626,42.49,10.651
5792.102858704339,35.078,42.4,10.929
5882.983870776095,35.447,42.209,11.057
5965.656877643648,35.76,41.953,10.616
6050.339272670024,36.008,41.633,11.092
6132.39241783304,36.124,41.186,11.126
6225.5033927267,36.007,40.509,11.184
6308.399395876443,35.58,39.526,11.08
6378.953147134815,34.854,38.254,10.976
6459.593427921029,33.952,36.832,11.022
6527.091418263802,33.089,35.49,11.034
6604.59593427921,32.502,34.472,10.976
6666.119970786412,32.346,33.931,11.034
6740.196902739019,32.615,33.846,10.929
6807.038558198431,33.124,34.018,10.952
6881.6472520462585,33.595,34.158,10.848
6957.032649732928,33.803,34.034,10.778
7024.005151765746,33.666,33.57,10.72
7087.306175553932,33.25,32.84,10.639
7155.900428876147,32.681,31.977,10.662
7219.363627793275,32.061,31.087,10.72
7282.313721269894,31.434,30.217,10.813
7342.382315523216,30.81,29.374,10.871
7399.332571174963,30.205,28.57,10.871
7458.801181645797,29.653,27.832,10.836
7512.861250240052,29.171,27.175,10.918
7569.210653325891,28.731,26.572,10.906
7620.1286125024,28.263,25.957,10.952
7676.163804646467,27.748,25.313,10.918
7724.220154049553,27.278,24.721,10.86
7774.308807857786,27.07,24.37,10.802
7824.600692106534,27.202,24.327,10.871
7874.912899399332,27.41,24.355,10.755
7925.227138996536,26.91,23.77,10.767
7969.8812044656925,24.222,21.29,10.697
8002.64849780506,19.602,17.158,10.744
8020.076170535223,13.808,12.048,10.941
8033.139692525221,8.686,7.56,10.558
8037.276233403464,3.782,3.297,10.686
