RPM,Hp,Nm,afr
2518.4405170198243,1.827,4.928,10.848
2633.781224476851,3.246,8.254,10.848
2817.3048240183657,4.915,11.85,10.802
3017.070796537962,6.712,15.312,10.744
3246.7332576642675,8.535,18.331,10.871
3500.589556132919,10.341,20.78,10.976
3759.2212592782134,12.142,22.709,11.266
4039.534691372848,13.976,24.264,11.532
4333.796401074457,15.863,25.579,11.822
4655.369168903258,17.785,26.718,12.182
4984.385084429592,19.693,27.671,12.6
5311.789293783274,21.538,28.408,12.936
5650.812437231732,23.299,28.928,13.075
5983.92941126244,24.993,29.275,13.214
6325.879852121009,26.654,29.516,13.481
6666.357618719953,28.294,29.698,13.423
7004.3320969505285,29.892,29.822,13.377
7360.904413883535,31.387,29.852,13.342
7700.488347147518,32.707,29.737,13.238
8036.017421102187,33.789,29.439,13.203
8368.784988183519,34.586,28.946,13.249
8689.496299865474,35.073,28.265,13.168
9004.289944122675,35.246,27.418,13.075
9306.711716925356,35.119,26.435,13.052
9591.404155985729,34.728,25.355,13.017
9860.187536017422,34.118,24.214,12.971
10129.736031088654,33.335,23.047,12.948
10371.088786354938,32.425,21.883,12.832
10604.909925755912,31.421,20.737,12.553
10826.197798858315,30.337,19.613,12.356
11036.808261561226,29.18,18.51,12.17
11229.858836627325,27.991,17.446,12.054
11418.79740198734,26.852,16.463,11.88
11588.476598837478,25.837,15.599,11.834
11758.585879779037,24.932,14.837,11.706
11919.314085360103,24.04,14.116,11.672
12069.680099635487,23.0,13.34,11.637
12209.58581101067,21.75,12.472,11.66
12339.021408326198,20.524,11.644,11.532
12457.98591046613,19.297,10.84,11.451
12573.547282146092,18.007,10.025,11.312
12669.920173240787,15.796,8.73,11.312
12743.170027795282,12.887,7.078,11.277
