RPM,Hp,Nm,afr
3273.370756285605,4.881,9.821,10.129
3503.2533059950524,7.679,14.654,10.129
3768.911718034061,10.624,19.238,10.233
4064.0639466725156,13.416,22.976,10.407
4362.165556970916,15.856,25.566,10.744
4677.05425203217,17.882,27.043,11.01
4993.621655569708,19.55,27.679,11.567
5308.000909012468,20.972,27.821,11.962
5633.941452157793,22.264,27.761,12.147
5946.9019986189205,23.505,27.67,12.518
6265.632608238856,24.731,27.606,12.681
6582.5842032322635,25.936,27.553,12.843
6894.6458548782,27.086,27.466,12.878
7213.286575016617,28.136,27.301,12.971
7527.873160119463,29.046,27.028,12.866
7827.918206064303,29.777,26.631,12.797
8124.153077150935,30.288,26.094,12.727
8412.938867924518,30.536,25.406,12.658
8703.335771609205,30.497,24.563,12.634
8965.621535276103,30.191,23.593,12.576
9218.028122113998,29.696,22.561,12.565
9462.378728441767,29.127,21.552,12.553
9696.499652948889,28.589,20.636,12.542
9915.461483619496,28.123,19.834,12.484
10139.975467733679,27.686,19.108,12.356
10343.840478710541,27.182,18.387,12.286
10547.996613316081,26.537,17.617,12.194
10738.045734630035,25.747,16.792,12.02
10912.548028960384,24.874,15.954,11.938
11087.851661534783,23.992,15.149,11.788
11246.743281336725,23.151,14.405,11.706
11406.34972080383,22.41,13.753,11.556
11551.891516583002,21.797,13.204,11.602
11696.026847993378,21.302,12.743,11.567
11837.665512024469,20.733,12.259,11.474
11967.274404605589,19.578,11.455,11.451
12083.90021532967,17.802,10.32,11.335
12175.667508443961,16.316,9.374,11.347
12260.23690791246,11.347,6.486,11.266
12261.625785032084,3.964,2.259,11.335
