RPM,Hp,Nm,afr
1870.092449193312,1.964,6.795,14.073
2016.6145080772255,3.281,10.601,13.876
2215.559477123512,4.74,14.376,13.736
2408.644763501825,6.197,17.639,13.678
2625.5684237186038,7.529,20.059,13.528
2858.1982897402813,8.669,21.549,13.4
3085.737592131922,9.633,22.272,13.145
3314.988232897403,10.51,22.556,13.052
3544.4100075002666,11.421,22.75,12.82
3764.9673165394997,12.467,23.108,12.553
4006.8421263907912,13.683,23.71,12.298
4268.611844218026,15.027,24.473,11.776
4534.591447579697,16.402,25.22,11.544
4809.8736184421805,17.697,25.78,11.347
5074.984072370534,18.843,26.063,11.486
5339.077354605473,19.833,26.087,11.683
5600.848524934232,20.721,25.956,12.008
5864.607878809213,21.587,25.795,12.136
6128.566051038816,22.493,25.695,12.46
6385.882920893356,23.455,25.678,12.6
6646.976449984072,24.454,25.718,12.959
6919.549618682617,25.477,25.783,13.087
7191.050356605104,26.539,25.87,13.446
7442.460298818404,27.673,26.0,13.725
7705.18352988184,28.858,26.155,13.945
7986.801247725028,29.96,26.238,14.212
8245.884072140925,30.762,26.091,14.398
8520.476565108827,31.095,25.597,14.514
8772.195682826672,30.979,24.79,14.606
9006.084699861614,30.647,23.861,14.595
9224.868338407214,30.4,23.046,14.688
9457.684202261773,30.405,22.472,14.815
9685.242104436704,30.579,22.073,14.896
9910.05381570683,30.663,21.654,14.653
10119.048144728577,30.403,21.036,14.548
10326.46073552549,29.727,20.172,14.293
10513.731599868339,28.741,19.144,14.015
10694.547502092097,27.581,18.054,13.783
10861.395539682895,26.306,16.948,13.678
11026.846790810394,24.975,15.86,13.62
11167.734021186303,23.65,14.82,13.586
11306.16484948705,22.403,13.868,13.713
11439.9092481066,21.473,13.138,13.632
11562.083030073818,20.767,12.567,13.806
11687.540539849484,20.768,12.43,13.852
11800.004053984949,17.156,10.197,13.876
11846.776721187967,11.116,6.562,13.98
