RPM,Hp,Nm,afr
2940.687049410006,4.305,9.659,13.992
3160.5983102041587,6.614,14.217,14.119
3384.6453573362055,8.898,18.262,14.026
3602.4447988915153,10.964,21.353,13.841
3839.60303252073,12.752,23.409,13.191
4087.5787243047043,14.312,24.65,12.518
4354.399319798891,15.734,25.401,11.985
4625.324800400941,17.086,25.915,11.509
4896.660769513779,18.391,26.313,11.277
5165.817392740852,19.654,26.63,11.126
5445.858055063559,20.894,26.883,11.161
5724.766726558986,22.15,27.113,11.196
5999.121409498004,23.461,27.366,11.474
6281.902272528747,24.861,27.678,11.648
6581.068516726558,26.367,28.061,11.811
6866.330535883183,27.986,28.506,12.228
7161.304106219895,29.672,28.961,12.402
7466.1304106219895,31.293,29.316,12.53
7771.941988430621,32.657,29.423,12.785
8066.750119895693,33.608,29.182,13.052
8367.119090936938,34.129,28.612,13.388
8634.738224883165,34.347,27.846,13.33
8912.404743540948,34.433,27.043,13.516
9179.974026985674,34.461,26.272,13.586
9435.431613224882,34.356,25.479,13.609
9687.457635006698,34.052,24.611,13.597
9923.59773718488,33.556,23.671,13.562
10149.26766845533,32.688,22.548,13.423
10367.22939842448,31.618,21.357,13.18
10564.436755631923,31.669,20.944,13.075
10761.789070300034,26.651,17.389,13.075
10850.35653860895,18.301,11.79,13.04
