RPM,Hp,Nm,afr
2733.7910827465116,4.996,11.896,13.006
2980.062276591483,7.255,16.507,13.075
3220.77850488687,9.371,20.286,13.18
3454.2560683104684,11.209,22.922,13.145
3693.6929335637196,12.763,24.48,12.959
3949.3197884058764,14.127,25.287,12.727
4217.70425606831,15.419,25.733,12.507
4487.36448501277,16.715,26.091,12.194
4761.60773562999,18.031,26.464,11.869
5047.447902275871,19.345,26.831,11.59
5323.30914666323,20.639,27.146,11.602
5609.311112686125,21.926,27.4,11.532
5891.871705328018,23.237,27.627,11.625
6171.8604378595355,24.598,27.868,11.788
6471.641489330508,26.014,28.138,12.089
6760.035436061765,27.475,28.426,12.576
7065.112454497265,28.969,28.712,12.634
7360.7191662418045,30.472,28.971,12.959
7650.923401772694,31.925,29.158,13.156
7960.636894632714,33.221,29.201,13.423
8265.618144908814,34.246,29.029,13.829
8554.532111520584,34.939,28.613,13.945
8841.83934976592,35.318,27.989,13.968
9115.619578540949,35.446,27.227,14.015
9379.136215279837,35.363,26.378,14.003
9648.309661131945,35.051,25.443,14.003
9891.316114628045,34.483,24.408,13.922
10127.250423343992,33.698,23.3,13.725
10351.338903720538,32.795,22.181,13.644
10560.876464629479,31.849,21.103,13.481
10764.503488047105,30.877,20.073,13.261
10963.084012171046,29.878,19.083,13.122
11138.882658642848,28.868,18.136,13.064
11314.63084012171,27.846,17.226,12.994
11481.463084012172,26.804,16.344,12.82
11636.265120282405,25.874,15.562,12.855
11785.408690246062,24.962,14.823,12.785
11929.530968034505,24.595,14.422,12.797
12059.784779971766,20.548,11.949,12.704
12121.820062155593,13.983,8.068,12.646
