RPM,Hp,Nm,afr
2717.261284542467,4.341,10.49,11.834
2951.676623503751,6.669,15.329,11.973
3173.385484132553,8.987,19.58,11.915
3422.784092967711,11.09,22.763,12.043
3666.040785534394,12.897,24.787,11.985
3939.8714052861123,14.44,25.886,11.811
4214.531694984056,15.812,26.428,11.59
4491.5026744489,17.101,26.727,11.382
4768.704722890435,18.356,26.954,11.3
5043.70215545736,19.591,27.157,11.219
5334.073185842765,20.813,27.334,11.231
5617.070684920909,22.045,27.5,11.266
5901.558553640605,23.339,27.7,11.532
6183.96773655218,24.746,27.984,11.602
6481.763110288882,26.286,28.367,11.822
6783.324825880372,27.926,28.809,12.321
7078.580007340513,29.604,29.241,12.6
7393.254040338013,31.249,29.594,12.855
7698.731344627861,32.77,29.798,13.133
7998.83353050239,34.039,29.773,13.435
8311.76454116905,34.943,29.461,13.829
8605.928929364429,35.488,28.894,13.887
8887.078041451296,35.77,28.174,14.003
9166.925625927306,35.827,27.355,14.038
9437.732166553127,35.629,26.429,13.945
9698.723711704815,35.213,25.426,13.818
9938.6842523586,34.694,24.426,13.736
10180.997138107146,34.102,23.447,13.586
10407.951198959228,34.028,22.862,13.307
10624.458486232557,30.676,20.256,13.098
10770.861690207414,25.097,16.298,13.203
