RPM,Hp,Nm,afr
3220.4081812932977,6.759,13.767,12.89
3509.9643628730305,9.965,19.287,12.924
3811.0311886765303,12.94,23.682,12.901
4103.865933811181,15.427,26.513,12.901
4426.372692425428,17.389,27.889,12.727
4742.463507296409,18.959,28.288,12.553
5067.29587288429,20.33,28.255,12.379
5383.619248452635,21.656,28.175,12.031
5710.820656383058,23.027,28.21,11.788
6034.418295004076,24.494,28.387,11.556
6362.347129239766,26.101,28.691,11.312
6693.05486930973,27.86,29.091,11.092
7031.0778587815375,29.68,29.496,10.976
7372.178159466341,31.341,29.726,10.952
7715.931977545247,32.601,29.603,10.906
8055.259574817949,33.38,29.09,11.161
8368.340901009164,33.805,28.327,11.208
8662.377096182585,34.087,27.514,11.277
8975.620854709483,34.331,26.756,11.208
9274.364865662086,34.441,25.99,11.184
9552.89261167481,34.188,25.05,11.022
9817.669799829515,33.397,23.817,10.987
10074.034573379997,32.038,22.287,10.929
10289.679738832354,30.188,20.531,10.848
10501.252943474898,27.711,18.482,10.929
10677.232157944365,25.049,16.42,10.767
10830.885683214072,23.244,14.999,11.103
10979.960853291,19.128,12.206,12.089
11055.858813391656,13.598,8.61,12.971
