RPM,Hp,Nm,afr
2345.184211456448,1.574,4.433,18.063
2474.826113453337,2.402,6.471,18.075
2642.8672267299494,3.244,8.363,18.063
2811.9790303653026,4.021,9.901,18.075
3003.3517491903763,4.681,10.969,18.098
3180.335174919038,5.202,11.565,18.063
3366.9565944149804,5.597,11.777,18.075
3551.772582518421,5.901,11.744,18.075
3736.4080274826115,6.153,11.597,18.075
3909.9484950559536,6.378,11.423,18.063
4087.9179264286727,6.583,11.256,18.075
4260.791792642867,6.762,11.09,18.063
4444.233025418133,6.913,10.915,18.063
4623.192533311044,7.056,10.748,18.063
4779.550022561874,7.24,10.642,18.063
4950.262694563879,7.532,10.675,18.063
5111.33396176408,7.991,10.908,18.098
5293.5949346379475,8.634,11.348,18.04
5486.282570386871,9.414,11.925,17.205
5696.6282570386875,10.229,12.51,16.068
5905.970518011561,10.958,12.959,14.63
6131.827821031926,11.506,13.173,14.142
6337.182782103192,11.844,13.137,13.62
6540.4875089795505,12.017,12.916,13.214
6726.971827821031,12.111,12.619,12.866
6925.620259705181,12.212,12.347,12.518
7114.408179816673,12.368,12.152,12.414
7307.74851028936,12.575,12.028,12.31
7498.774851028936,12.79,11.93,12.159
7686.800562025972,12.964,11.805,11.95
7868.987748510291,13.063,11.624,11.776
8053.360313312564,13.084,11.385,11.683
8218.566800562025,13.05,11.113,11.625
8401.241295440817,12.996,10.838,11.59
8557.970283390234,12.943,10.58,11.579
8720.412412954409,12.887,10.338,11.59
8886.195087449287,12.815,10.097,11.614
9041.234893360312,12.717,9.85,11.625
9186.892720105261,12.606,9.603,11.66
9339.920041241296,12.493,9.365,11.788
9474.29969643182,12.366,9.128,11.776
9623.42996964318,12.189,8.868,11.869
9757.41992004124,11.923,8.557,11.904
9881.588145850277,11.561,8.191,11.996
10004.774199200414,11.157,7.808,11.985
10122.323573766196,10.808,7.474,11.927
10231.001588145853,10.551,7.214,12.043
10341.561697276124,10.294,6.965,12.008
10452.310015881458,9.939,6.66,12.054
10546.461770818916,9.515,6.317,12.112
10636.184638620354,9.168,6.032,12.066
10731.003079246651,8.881,5.793,12.101
10818.023384847744,8.938,5.78,12.124
10898.725415407851,7.07,4.549,12.147
10920.641772310017,3.901,2.498,12.078
