RPM,Hp,Nm,afr
2941.847013371793,2.49,5.681,12.971
3087.0213775549446,3.757,8.253,12.982
3256.266607669535,5.008,10.579,13.087
3438.2341106236872,6.113,12.382,13.145
3634.367823669819,6.988,13.531,13.203
3824.1817680403346,7.612,14.057,13.214
4021.1001252281017,8.026,14.116,13.168
4223.886516820805,8.308,13.922,13.052
4388.577763429932,8.554,13.678,12.89
4577.826257718351,8.847,13.531,12.901
4761.7940870898865,9.244,13.556,12.727
4960.706629339361,9.765,13.755,12.658
5148.219660068607,10.389,14.077,12.6
5352.644315577061,11.066,14.441,12.588
5556.181337001833,11.735,14.762,12.576
5772.523577826258,12.341,14.979,12.576
5979.8311543442305,12.852,15.065,12.611
6183.656467869953,13.268,15.035,12.611
6387.133555096451,13.612,14.926,12.704
6593.154616254632,13.92,14.789,12.646
6796.851278244374,14.233,14.666,12.704
6990.000314070856,14.576,14.584,12.611
7194.988570089035,14.949,14.538,12.542
7393.424358441569,15.325,14.502,12.507
7591.204900027538,15.668,14.442,12.46
7796.656306621666,15.95,14.333,12.321
7982.2444272237735,16.154,14.164,12.275
8173.582608911491,16.277,13.939,12.136
8368.074593269372,16.333,13.672,12.043
8544.830381963042,16.336,13.381,11.985
8724.970144213497,16.29,13.069,11.938
8897.71191413482,16.187,12.734,11.962
9072.292681384828,16.072,12.407,11.927
9231.584568998083,15.994,12.124,11.892
9394.505161770869,16.052,11.95,11.846
9557.78862505961,16.074,11.766,11.846
9710.793189153526,15.458,11.146,11.799
9847.297083958334,13.727,9.777,11.811
9933.153777163741,10.657,7.516,11.834
9988.157784593162,7.337,5.135,11.892
10011.709761267342,3.483,2.435,11.904
