RPM,Hp,Nm,afr
2010.33578319529,0.284,1.171,14.815
2019.0851542507612,1.033,3.619,14.502
2112.7967675740742,2.157,7.014,14.27
2150.5195803341185,3.539,10.803,12.252
2388.977459466077,4.999,14.286,12.124
2632.0209551156627,6.375,16.928,12.066
2896.1533849098473,7.58,18.556,12.101
3157.237114995283,8.614,19.34,12.17
3425.7523647946578,9.529,19.618,12.228
3700.1683596886346,10.375,19.684,12.321
3970.016835968864,11.178,19.692,12.426
4247.144950072531,11.937,19.671,12.426
4512.107045150519,12.644,19.598,12.437
4781.010131449149,13.281,19.444,12.402
5045.149723746634,13.818,19.181,12.321
5301.076576959191,14.225,18.793,12.124
5556.182156263255,14.509,18.305,12.078
5795.732828806842,14.722,17.787,11.869
6025.991620989567,14.884,17.274,11.706
6257.90002169781,15.002,16.772,11.486
6484.815790135398,15.066,16.267,11.277
6690.601922853082,15.07,15.746,11.115
6891.69629543717,14.715,14.933,11.045
7079.427509199879,13.124,13.018,10.802
7203.931289601937,10.25,9.988,10.674
7252.484819504607,6.229,6.002,10.535
7272.812951864502,3.2,3.045,10.43
7274.845765100492,0.604,0.597,10.396
