RPM,Hp,Nm,afr
2548.0579520577944,1.483,3.854,16.312
2676.295766552484,2.442,6.098,16.196
2815.480579520578,3.437,8.281,16.103
2973.811668267244,4.328,10.065,16.068
3144.372570838186,5.02,11.238,15.801
3323.8928444763687,5.492,11.791,15.511
3486.2574792900436,5.809,11.905,14.827
3608.2246017971997,6.079,11.852,14.479
3775.14910774419,6.41,11.875,14.154
3954.3057417199775,6.858,12.101,13.632
4126.949198813832,7.421,12.516,13.214
4314.414117589119,8.053,13.023,12.901
4500.782385970947,8.701,13.512,12.646
4699.9349721214485,9.334,13.92,12.391
4897.787193487216,9.946,14.238,12.194
5092.930581812906,10.542,14.49,12.147
5295.5394765194005,11.126,14.697,12.066
5501.47371842558,11.689,14.859,12.031
5718.055681298145,12.214,14.966,12.031
5922.808433459328,12.687,15.007,11.962
6123.799467987767,13.104,14.98,11.95
6326.993127314536,13.468,14.898,11.88
6538.143438805952,13.793,14.782,11.776
6739.774229267415,14.106,14.663,11.741
6935.295474502673,14.442,14.574,11.614
7130.20576521531,14.818,14.529,11.532
7337.948943283709,15.216,14.509,11.44
7536.660223841265,15.574,14.461,11.3
7729.310721524529,15.819,14.321,11.254
7931.67032716678,15.915,14.063,11.103
8114.370471112092,15.881,13.71,10.999
8289.947075764505,15.764,13.308,10.894
8472.54771617244,15.607,12.9,10.802
8640.377980786297,15.471,12.532,10.72
8809.310004382354,15.399,12.236,10.709
8970.615814191817,15.4,12.012,10.593
9131.15900262262,15.466,11.849,10.57
9301.941115161975,15.554,11.709,10.5
9445.380357934535,15.494,11.473,10.43
9609.294482784859,15.267,11.126,10.442
9741.731740542098,14.418,10.363,10.454
9865.863718466817,12.526,8.897,10.5
9942.746830299402,9.444,6.653,10.43
9978.801903660315,5.198,3.642,10.523
