RPM,Hp,Nm,afr
3068.199246146972,2.303,5.013,18.063
3228.22567541342,3.265,6.896,18.063
3387.9982863911823,4.118,8.425,18.005
3556.3717136231435,4.783,9.446,18.063
3725.6052224805253,5.236,9.946,18.052
3894.9247395004486,5.511,10.036,18.075
4067.1282566976492,5.681,9.899,18.063
4225.243177107465,5.831,9.718,18.063
4381.949237838542,6.025,9.621,18.063
4544.26521132379,6.298,9.661,18.075
4721.519172889567,6.648,9.824,18.063
4894.5161345413535,7.052,10.058,18.063
5075.713594284807,7.481,10.306,18.005
5260.606503198449,7.907,10.526,18.063
5437.242758946044,8.314,10.699,18.063
5627.430346182144,8.697,10.823,18.04
5816.097667206073,9.055,10.904,17.332
6004.6129616087865,9.392,10.953,16.996
6190.237653988355,9.708,10.975,16.613
6378.448685526631,9.999,10.971,16.532
6569.793750341802,10.257,10.933,16.184
6747.075221679548,10.474,10.859,15.952
6940.202729835686,10.646,10.746,15.732
7120.537844868553,10.775,10.599,15.569
7290.9675225060255,10.855,10.418,15.418
7466.157455126003,10.879,10.2,15.233
7638.948013883207,10.856,9.954,15.012
7805.74783653209,10.822,9.712,14.838
7969.07318620912,10.825,9.513,14.699
8109.047893700785,10.876,9.366,14.56
8278.316929945158,10.923,9.228,14.409
8444.764600342758,10.889,9.037,14.224
8579.300741184434,10.755,8.775,13.887
8739.399722680744,10.583,8.492,13.655
8850.297799744112,10.453,8.251,13.435
9005.15757550157,10.376,8.063,13.272
9141.410326240253,10.304,7.891,13.075
9270.051575755015,10.206,7.707,12.936
9392.18087642534,10.057,7.493,12.808
9516.534381572246,9.779,7.194,12.727
9635.359508444764,9.384,6.821,12.518
9739.254800684732,8.924,6.414,12.402
9833.030911378377,8.459,6.016,12.31
9931.545902639435,7.58,5.346,12.252
9996.029989624965,5.828,4.085,12.194
10022.606193850677,3.664,2.556,12.136
10025.263814273247,0.956,0.668,12.089
