RPM,Hp,Nm,afr
2724.8243398789596,2.052,4.991,17.286
2886.220453157225,2.986,7.004,17.182
3066.2578280633265,3.85,8.694,17.251
3233.782332327099,4.558,9.875,17.251
3420.1833450537965,5.078,10.511,17.46
3596.970411182696,5.428,10.699,17.622
3781.422280734883,5.665,10.614,17.588
3952.2636338242874,5.858,10.439,17.483
4124.619334628436,6.068,10.31,17.588
4305.752668287125,6.338,10.298,17.158
4479.137567148201,6.684,10.414,16.938
4663.249219973605,7.103,10.631,16.335
4857.05974627851,7.578,10.906,15.859
5046.089361209321,8.083,11.191,15.012
5246.14248244681,8.585,11.446,14.537
5450.173353675991,9.057,11.637,13.98
5651.7266005433175,9.479,11.75,13.586
5853.032084974459,9.848,11.789,13.261
6057.1881925230055,10.179,11.78,13.098
6258.753963022269,10.505,11.761,12.971
6454.30990109456,10.858,11.769,12.913
6660.766453368243,11.251,11.817,12.866
6859.686868978997,11.669,11.887,12.901
7072.2306677285715,12.064,11.936,13.04
7274.635207347937,12.377,11.908,13.11
7476.025821054282,12.563,11.769,13.18
7674.439642808304,12.611,11.515,13.226
7861.054187923004,12.536,11.17,13.226
8043.613406012748,12.366,10.767,13.319
8214.265493955907,12.136,10.341,13.377
8392.353066967476,11.898,9.933,13.435
8542.43019487566,11.716,9.593,13.446
8706.958674439644,11.637,9.352,13.504
8855.67989300307,11.645,9.192,13.539
9020.072781632574,11.641,9.035,13.574
9165.905041741533,11.508,8.791,13.586
9309.881238998434,11.216,8.439,13.597
9445.045631887064,10.89,8.074,13.644
9570.702646255799,10.641,7.778,13.702
9704.03512085561,10.603,7.642,13.586
9829.508943395464,10.345,7.366,13.551
9945.570702646255,9.498,6.69,13.551
10026.186463235872,7.558,5.284,13.423
10068.752831627102,4.655,3.232,13.458
