RPM,Hp,Nm,afr
2693.8929532302727,2.0,4.906,18.063
2865.874918326222,2.905,6.877,18.075
3026.8430828869355,3.738,8.527,18.063
3212.5884616433264,4.421,9.681,18.063
3377.808366931106,4.924,10.305,18.063
3555.3527216771363,5.264,10.494,18.063
3731.2541220079693,5.494,10.417,18.075
3906.9912268972826,5.68,10.246,18.052
4079.836502881422,5.878,10.115,18.063
4249.5171966140215,6.132,10.094,18.063
4418.881432121466,6.463,10.203,17.912
4602.591018611507,6.873,10.423,17.854
4787.735140199809,7.346,10.711,17.042
4981.648913381003,7.851,11.015,16.242
5173.564252360466,8.351,11.284,15.743
5379.656744724865,8.812,11.478,14.885
5572.789955622647,9.216,11.585,14.525
5776.128835817855,9.572,11.619,14.247
5977.612883581785,9.904,11.618,13.98
6170.285250019521,10.247,11.624,13.69
6367.827247046681,10.617,11.659,13.574
6571.6070058548285,11.011,11.718,13.4
6776.0105408410745,11.408,11.78,13.412
6983.351852806151,11.786,11.819,13.446
7179.485345025024,12.126,11.819,13.446
7380.248853991319,12.406,11.762,13.458
7581.475364632358,12.593,11.627,13.458
7776.997376718827,12.649,11.391,13.481
7966.198140227793,12.566,11.053,13.47
8146.140580795942,12.382,10.651,13.435
8313.655591625919,12.164,10.242,13.354
8482.803258843103,11.966,9.874,13.33
8640.612594254919,11.817,9.566,13.354
8808.789693930285,11.728,9.323,13.342
8955.000375143827,11.692,9.133,13.377
9107.640612594256,11.665,8.961,13.446
9260.92380566837,11.576,8.751,13.435
9405.64509622179,11.371,8.467,13.481
9538.008599079047,11.058,8.116,13.423
9669.136323166691,10.642,7.706,13.516
9791.514271294305,10.313,7.369,13.539
9904.39104374285,9.621,6.799,13.47
10004.816101179398,8.054,5.642,13.516
10052.238798616341,5.453,3.798,13.551
10059.856467721058,1.846,1.283,13.435
