RPM,Hp,Nm,afr
2701.241192351486,1.464,3.517,16.938
2878.111339682433,2.379,5.516,16.973
3036.6929231056233,3.312,7.421,17.019
3213.5734456651953,4.144,8.956,17.031
3395.159261499427,4.793,9.957,16.996
3562.838609856013,5.239,10.418,17.1
3740.628908908924,5.519,10.472,16.996
3916.5549036704447,5.71,10.319,16.915
4086.5436692807825,5.891,10.146,16.706
4250.187913253957,6.124,10.076,16.66
4427.574701868527,6.442,10.155,16.393
4609.2111443082595,6.848,10.369,16.103
4791.2725521305065,7.327,10.67,15.616
4984.8780539350955,7.849,11.0,14.908
5179.637965137918,8.375,11.302,14.316
5380.2641160026105,8.865,11.531,13.806
5581.476890833489,9.29,11.659,13.377
5785.623727422007,9.642,11.688,13.064
5987.1885708252685,9.942,11.65,12.913
6182.744416187958,10.229,11.596,12.808
6369.073163663524,10.543,11.571,12.681
6580.357795599578,10.903,11.597,12.82
6771.134821093506,11.305,11.666,12.808
6982.864280831395,11.72,11.744,12.878
7182.311987188571,12.099,11.786,12.936
7380.531518207675,12.385,11.741,13.075
7578.628231692972,12.522,11.569,13.11
7776.712663424888,12.488,11.258,13.133
7963.294269537378,12.318,10.849,13.18
8128.597797560767,12.096,10.42,13.18
8294.648917136268,11.916,10.047,13.18
8469.400993950048,11.813,9.761,13.214
8622.019971599479,11.74,9.519,13.226
8789.678035498608,11.618,9.257,13.33
8938.71221249555,11.426,8.954,13.33
9083.00860144125,11.22,8.65,13.377
9223.955812220802,11.168,8.469,13.446
9358.817306461699,11.223,8.376,13.446
9513.198024575882,10.862,8.001,13.458
9629.275074023084,10.015,7.293,13.435
9753.023354047677,9.263,6.659,13.539
9802.778373743426,9.253,6.563,13.481
9971.651639291276,8.898,6.249,13.516
10040.296154344464,6.721,4.693,13.551
10055.786803932848,4.351,3.025,13.388
10068.837466335777,1.326,0.923,13.342
