RPM,Hp,Nm,afr
2268.5493755126417,1.48,4.352,18.075
2412.1584519282615,2.136,6.048,18.063
2547.286132732762,2.767,7.514,18.075
2701.6934695033083,3.333,8.636,18.063
2866.654969953526,3.824,9.399,18.249
3029.7964874106883,4.244,9.861,18.063
3201.3822046516125,4.605,10.108,18.063
3382.438539953979,4.918,10.214,17.669
3561.566537701469,5.188,10.233,17.205
3737.626302332447,5.426,10.2,16.683
3913.3792436517747,5.652,10.152,16.3
4077.599905195849,5.896,10.133,15.674
4252.168936206485,6.189,10.186,15.268
4427.772804163779,6.551,10.335,14.896
4612.106353898807,6.985,10.573,14.595
4803.06367053365,7.472,10.867,14.293
4994.683363858478,7.982,11.166,13.876
5194.99549293537,8.482,11.425,13.435
5396.176865587466,8.949,11.616,13.075
5597.445162597086,9.374,11.733,12.866
5801.597551403479,9.761,11.792,12.658
6003.162950028526,10.127,11.818,12.484
6201.594250274417,10.49,11.837,12.518
6411.213738126484,10.868,11.869,12.542
6613.325846656098,11.265,11.917,12.507
6814.68721725347,11.664,11.966,12.681
7024.599712140683,12.029,11.982,12.681
7229.616520734834,12.318,11.927,12.739
7431.268361338658,12.497,11.778,12.855
7629.708305782428,12.557,11.532,12.913
7816.325463166101,12.513,11.212,12.971
7998.884942482744,12.394,10.848,13.04
8178.163254631662,12.235,10.475,13.098
8354.238050702785,12.076,10.126,13.133
8506.989300277946,11.96,9.83,13.203
8683.286789452715,11.912,9.605,13.214
8836.060308338245,11.917,9.434,13.296
8992.232228916891,11.906,9.261,13.319
9157.370187747922,11.797,9.026,13.388
9294.650756793963,11.571,8.715,13.47
9440.647184305593,11.254,8.349,13.493
9570.26280149765,10.99,8.035,13.539
9703.991136379796,10.779,7.771,13.574
9826.62914558686,10.314,7.345,13.586
9942.407323504376,9.197,6.484,13.713
10014.368527877594,7.174,5.018,13.62
10058.944840008207,4.931,3.428,13.69
10077.77946802638,2.288,1.589,13.655
