RPM,Hp,Nm,afr
2139.9115229686777,1.577,4.642,17.008
2297.2924958669255,2.368,6.702,16.915
2465.909671851568,3.151,8.591,16.81
2627.8769556688417,3.853,10.11,16.149
2786.588079444043,4.425,11.14,14.862
2952.747099691045,4.845,11.662,13.794
3111.877397109219,5.117,11.744,12.89
3259.9401389431673,5.267,11.503,12.205
3404.304954393357,5.324,11.068,11.648
3545.7088063798346,5.314,10.544,11.405
3684.225391194605,5.255,9.998,11.15
3822.4532492922053,5.158,9.46,10.976
3945.1052097660718,5.032,8.938,10.86
4058.426068001558,4.888,8.441,10.778
4168.222645187871,4.743,7.98,10.697
4262.119769317252,4.614,7.574,10.744
4359.6092897916105,4.515,7.239,10.72
4452.275708249795,4.454,6.98,10.709
4552.233328982369,4.425,6.79,10.558
4647.7377282917105,4.42,6.649,10.523
4732.4321221573855,4.424,6.533,10.523
4826.410198780038,4.43,6.426,10.465
4910.951960377043,4.432,6.318,10.477
4999.732432122159,4.433,6.212,10.488
5081.163262406074,4.436,6.112,10.57
5164.450299369206,4.446,6.025,10.546
5242.740615349588,4.461,5.95,10.662
5325.713600882367,4.48,5.883,10.535
5414.337195021058,4.498,5.819,10.5
5490.56999589366,4.51,5.751,10.604
5568.1548882649895,4.513,5.674,10.593
5640.692648135519,4.507,5.59,10.581
5720.499207231978,4.494,5.501,10.57
5795.850304600357,4.479,5.411,10.593
5875.938197446599,4.467,5.329,10.639
5938.361574063279,4.464,5.259,10.686
6011.974353183679,4.472,5.204,10.674
6084.114901729115,4.491,5.164,10.744
6158.699398042393,4.517,5.135,10.72
6225.754776656447,4.545,5.107,10.628
6297.239585151248,4.568,5.077,10.639
6371.758507459462,4.585,5.04,10.709
6436.216157847673,4.598,5.0,10.744
6504.850022694556,4.61,4.96,10.825
6573.901508987306,4.622,4.92,10.825
6640.403586599306,4.624,4.872,10.825
6709.241894168567,4.601,4.801,10.918
6767.94914143221,4.541,4.694,10.929
6841.1903076173085,4.442,4.552,10.86
6897.7466699172,4.324,4.393,10.871
6965.590405955251,4.222,4.252,10.929
6998.286487812415,4.175,4.168,10.929
7071.517708282201,4.207,4.163,10.964
7117.708392709218,4.314,4.231,10.964
7197.47141508666,4.464,4.341,11.092
7241.724108879108,4.616,4.452,11.022
7323.884503018429,4.734,4.528,10.964
7378.741617288407,4.795,4.55,11.103
7436.050745222122,4.797,4.513,11.068
7501.378586998219,4.74,4.424,11.068
7567.508300158554,4.629,4.286,11.196
7612.988833854628,4.462,4.101,11.184
7669.360303730951,4.246,3.877,11.184
7724.229696399965,4.004,3.633,11.15
7765.993027221571,3.777,3.406,11.126
7809.036922683769,3.612,3.238,11.184
7847.026532959356,3.539,3.153,11.126
7894.875398017626,3.549,3.144,11.103
7938.527846903492,3.596,3.168,11.068
7984.3518249974495,3.615,3.168,10.987
8027.801785186885,3.559,3.104,10.987
8071.014343585866,3.421,2.97,10.941
8103.838478504458,3.234,2.794,10.918
8140.806112725685,3.038,2.613,10.929
8170.4145844011655,2.863,2.452,10.894
8209.651823123419,2.722,2.322,10.883
8231.713742772996,2.622,2.228,10.848
8267.60515546732,2.556,2.165,10.767
8291.92366333944,2.499,2.109,10.755
8320.26722238001,2.422,2.037,10.744
8354.195628188094,2.341,1.963,10.755
8373.135493720922,2.307,1.928,10.697
8395.758846876888,2.295,1.912,10.72
8429.115232096518,2.187,1.816,10.651
8450.589066395833,1.867,1.548,10.581
8460.50996230177,1.386,1.147,10.604
8466.684393543035,0.878,0.726,10.767
8472.484178317836,0.531,0.438,10.86
8475.65532762065,0.501,0.413,10.883
8483.74595502694,0.438,0.362,11.161
8487.146188592906,0.44,0.363,11.126
