RPM,Hp,Nm,afr
2156.4654565241876,1.986,5.718,18.075
2332.633109951843,2.958,8.138,18.075
2531.631833068121,3.909,10.314,17.924
2722.548979851918,4.75,12.008,18.075
2917.8403106531373,5.417,13.085,18.086
3113.5690598561005,5.881,13.532,18.086
3283.429842645879,6.151,13.444,17.042
3450.703828794338,6.261,12.978,15.024
3609.945622802658,6.258,12.31,14.34
3765.7930267716283,6.188,11.583,13.736
3918.7098209113283,6.085,10.892,13.191
4066.1512124174283,5.969,10.277,12.832
4189.724526232146,5.851,9.742,12.414
4318.684544753733,5.736,9.275,12.217
4437.818550444663,5.628,8.861,11.962
4558.561125677864,5.531,8.493,11.927
4666.508703738612,5.449,8.169,11.706
4773.176782082113,5.385,7.888,11.648
4879.7169104538925,5.336,7.646,11.579
4981.061902177827,5.297,7.434,11.486
5081.887380236977,5.262,7.241,11.428
5182.660906929647,5.221,7.053,11.347
5275.655726009663,5.171,6.862,11.37
5365.281503503078,5.109,6.667,11.312
5454.570376837831,5.039,6.469,11.358
5541.234388931384,4.968,6.278,11.312
5630.227085726151,4.903,6.102,11.289
5709.0879676896975,4.85,5.947,11.3
5776.5709848687775,4.81,5.814,11.289
5868.827923822769,4.775,5.694,11.254
5942.832888351566,4.734,5.573,11.219
6015.012655437844,4.675,5.437,11.254
6092.19224443054,4.588,5.275,11.15
6162.09830313787,4.474,5.087,11.15
6231.277008816666,4.34,4.882,11.115
6292.609466716599,4.2,4.676,11.08
6347.974958187974,4.068,4.483,11.068
6407.926094667167,3.951,4.313,11.045
6468.335795647138,3.854,4.17,11.045
6528.791353077189,3.779,4.054,11.01
6576.29564202557,3.727,3.965,11.022
6635.460658252461,3.698,3.902,10.883
6680.244722255188,3.693,3.865,10.871
6741.728886812851,3.705,3.847,10.813
6786.744865648655,3.726,3.838,10.732
6848.252221689625,3.742,3.825,10.767
6898.452861324432,3.743,3.798,10.72
6952.705170969295,3.725,3.752,10.709
6999.589135139156,3.689,3.689,10.662
7050.918606412188,3.638,3.612,10.628
7100.101457570199,3.574,3.524,10.628
7141.296134240703,3.495,3.423,10.57
7194.647847589135,3.398,3.307,10.616
7238.850581304019,3.282,3.176,10.593
7276.9560754048725,3.154,3.035,10.639
7314.451845544326,3.027,2.897,10.639
7351.886643287638,2.918,2.778,10.616
7394.497685442007,2.847,2.696,10.604
7429.852839561475,2.826,2.663,10.558
7456.708892401444,2.857,2.677,10.593
7503.444401716151,2.923,2.725,10.651
7541.80317337699,2.995,2.779,10.674
7579.3242712724405,3.042,2.808,10.662
7621.943943442022,3.039,2.792,10.674
7657.299960563013,2.982,2.727,10.755
7694.5207830044765,2.884,2.625,10.697
7726.745744327318,2.767,2.507,10.744
7758.471119538298,2.65,2.391,10.697
7790.146536138091,2.541,2.283,10.744
7821.816956876764,2.442,2.185,10.744
7848.304536378654,2.345,2.091,10.732
7876.865002582203,2.238,1.989,10.686
7900.450415805244,2.11,1.87,10.709
7926.129494555573,1.973,1.744,10.662
7946.835598207956,1.875,1.651,10.686
7977.409087651889,1.866,1.638,10.604
7977.8752657709465,1.953,1.708,10.604
8021.971787613563,2.066,1.802,10.581
8047.110806400511,2.116,1.841,10.593
8075.536416532565,2.071,1.797,10.523
8088.743660847116,1.97,1.705,10.523
8110.793751881257,1.849,1.596,10.535
8136.319298412694,1.71,1.471,10.43
8151.827707192517,1.537,1.32,10.407
8168.925573022514,1.319,1.13,10.349
8173.226530430849,1.106,0.946,10.268
8194.385992774372,1.002,0.856,10.28
8196.501939008724,1.097,0.935,10.198
8220.034071060181,1.305,1.111,10.222
8237.934309217344,1.601,1.36,10.222
8257.862528810409,1.481,1.257,10.152
8267.628863245724,1.085,0.918,10.187
