RPM,Hp,Nm,afr
3786.6921654567195,2.237,4.184,14.699
3926.870655394593,3.145,5.712,14.34
4099.521597913559,4.276,7.359,13.864
4239.808274899269,5.731,9.216,13.145
4435.131906626617,7.402,11.143,12.553
4771.930456849712,8.887,12.672,12.147
5158.488009713748,9.687,13.24,11.695
5514.4099520505115,9.568,12.627,11.393
5669.786318946059,8.833,11.257,11.289
5785.683667865828,8.234,10.052,11.405
5997.992827218238,8.558,9.9,11.799
6242.6050381175055,10.162,11.126,12.75
6581.095036185852,12.798,13.34,13.249
6967.821733834412,15.805,15.739,13.841
7372.321741728765,18.518,17.601,14.224
7785.073900791581,20.578,18.62,14.316
8185.701634683475,21.995,18.91,14.282
8594.829156274103,22.999,18.794,13.968
8995.094426418776,23.857,18.576,13.528
9394.473471418853,24.752,18.427,13.052
9793.763893904475,25.732,18.37,12.739
10189.808044066707,26.718,18.337,12.507
10592.002387140481,27.517,18.194,12.437
10975.387289073762,27.975,17.856,12.565
11350.416426749103,28.252,17.43,13.029
11708.422937638941,28.292,16.91,13.829
12064.727185850224,28.853,16.711,15.453
12385.24969700229,24.169,13.731,18.063
12520.899070419651,15.827,8.823,18.075
