RPM,Hp,Nm,afr
4808.21373556531,3.035,4.302,13.435
5003.483244060128,5.453,7.349,13.156
5307.902281240545,8.122,10.47,13.017
5545.538429562903,10.475,12.958,12.797
5938.366792596578,12.046,14.312,12.727
6330.5273267416715,12.798,14.566,12.368
6560.750574400786,13.206,14.304,12.437
6800.67937398684,13.959,14.296,12.368
7145.175851067748,15.482,14.983,12.669
7551.927657049221,17.663,16.238,13.18
7951.955355632978,19.996,17.549,13.574
8361.022873692793,21.983,18.446,13.841
8764.519553556329,23.449,18.797,13.806
9170.696559672178,24.535,18.778,13.435
9570.666778269373,25.472,18.635,13.052
9973.253728186648,26.364,18.489,12.82
10376.10235123593,27.143,18.309,12.75
10762.7900912387,27.696,18.017,12.646
11144.624332864876,28.228,17.727,12.785
11513.023584365626,28.421,17.276,13.017
11876.841926781884,29.168,17.161,13.098
12188.40361713862,22.317,12.908,13.203
12232.509426462064,10.114,5.748,13.249
