RPM,Hp,Nm,afr
4181.252526637862,2.205,3.685,14.026
4354.8159001458,4.253,6.616,13.876
4530.805331021774,6.777,9.938,13.748
4888.332331663329,9.27,12.917,13.388
5270.487909425324,11.142,14.819,12.994
5658.343754971308,12.095,15.36,12.6
5969.071785569073,12.388,14.945,12.484
6184.676962729569,12.707,14.447,12.507
6487.892156704611,13.702,14.621,12.901
6867.853963871899,15.541,15.634,13.365
7274.914892790068,17.852,17.052,13.841
7691.160554027208,20.06,18.263,14.189
8098.612458280418,21.803,18.915,14.258
8508.422396907177,23.07,19.05,14.003
8918.468138971293,24.067,18.925,13.493
9322.062641235258,25.003,18.768,13.052
9734.724249735034,25.995,18.683,12.866
10132.105518498684,27.002,18.635,12.924
10540.908393576485,27.888,18.522,13.075
10934.666378925995,28.493,18.251,13.62
11317.20764508684,30.0,18.502,14.386
11685.677599041059,24.9,15.03,15.279
11809.934666378924,15.281,9.014,16.88
