RPM,Hp,Nm,afr
3194.2181460072197,11.693,24.586,15.546
3311.3137064926136,17.765,36.472,15.488
3435.2893748072656,23.707,47.531,15.43
3562.759706711496,28.899,56.479,15.349
3696.1928105879892,32.957,62.611,15.302
3830.2221916617095,35.803,65.923,15.256
3964.311200455152,37.625,66.982,15.198
4092.792866407262,38.746,66.614,15.186
4229.133756495197,39.488,65.588,15.152
4360.647263383408,40.077,64.423,15.059
4488.871379144994,40.628,63.353,14.908
4613.959902987264,41.176,62.424,14.862
4741.541520444257,41.727,61.601,14.722
4866.565794456068,42.284,60.855,14.722
4985.721028510056,42.859,60.189,14.606
5107.096011374913,43.502,59.658,14.572
5228.69296912086,44.327,59.384,14.479
5353.118777161567,45.502,59.545,14.595
5475.020817425097,47.178,60.286,14.479
5605.090439330867,49.358,61.585,14.548
5713.523596947641,51.816,63.173,14.664
5861.892900235304,54.182,64.621,14.63
6003.029206863448,56.19,65.61,14.711
6149.055519438945,57.91,66.19,14.688
6284.344221382564,59.758,66.787,14.746
6401.719245423081,62.211,67.915,14.722
6536.949471319855,65.436,69.768,14.722
6693.611787048825,69.147,72.064,14.734
6874.870534214239,72.819,74.252,14.722
7016.489132423504,76.059,75.901,14.699
7179.403590997029,78.765,76.897,14.653
7316.381107540452,80.931,77.285,14.595
7481.638110754045,82.346,76.972,14.583
7646.916409828004,82.604,75.694,14.49
7798.163574454736,81.534,73.353,14.409
7939.587667216783,79.664,70.419,14.247
8065.996188759102,78.165,67.879,14.224
8199.323111599404,78.169,66.673,14.131
8324.921916149544,79.983,67.029,14.084
8483.427742550506,82.874,68.302,13.934
8628.384354296631,85.578,69.423,13.945
8766.372738963966,87.068,69.552,13.945
8903.664300923427,87.025,68.465,13.934
9040.886180612093,85.828,66.512,13.968
9169.681133653725,84.175,64.278,13.899
9292.020088417346,82.531,62.147,13.852
9413.71344335317,80.801,60.056,13.945
9532.535585499558,78.448,57.61,14.015
9642.650647947046,74.994,54.466,14.073
9740.668391198033,70.735,50.841,14.119
9834.669749722716,66.255,47.158,14.073
9919.84951135481,62.181,43.858,14.038
10001.340460490992,56.96,39.867,14.154
10068.429264344317,49.408,34.36,14.131
10114.43128402279,36.738,25.435,14.05
10133.064750023903,19.692,13.599,14.189
