RPM,Hp,Nm
562.8791257001,2.156,26.419
574.68791257001,3.038,36.787
584.8687912570009,3.849,45.966
595.7868791257001,4.543,53.372
607.67868791257,5.116,58.966
621.4678687912569,5.594,63.106
636.3467868791257,6.014,66.294
650.4346786879127,6.404,68.94
665.3434678687913,6.777,71.248
681.2343467868792,7.129,73.217
697.2234346786879,7.444,74.722
712.3223434678688,7.702,75.612
730.0322343467869,7.888,75.784
744.4032234346787,7.998,75.249
760.2403223434679,8.045,74.183
776.224032234347,8.068,72.949
791.3224032234348,8.127,72.066
804.5322403223436,8.291,72.089
821.1532240322343,8.615,73.414
837.2153224032235,9.114,76.104
853.2215322403224,9.759,79.855
871.9221532240323,10.495,84.139
891.7922153224032,11.267,88.467
911.7792215322404,12.047,92.583
930.8779221532241,12.836,96.467
952.5877922153225,13.639,100.176
974.5587792215323,14.445,103.667
997.4558779221531,15.217,106.72
1021.3455877922153,15.896,108.982
1043.5345587792215,16.413,110.06
1066.4534558779221,16.707,109.656
1090.3453455877923,16.753,107.725
1111.6345345587793,16.588,104.588
1131.763453455878,16.306,100.889
1152.6763453455876,16.027,97.385
1170.9676345345588,15.851,94.657
1191.696763453456,15.81,92.848
1209.9696763453455,15.839,91.554
1228.8969676345346,15.812,90.033
1247.8896967634535,15.62,87.672
1265.0889696763454,15.245,84.398
1281.2088969676345,14.737,80.523
1297.2208896967634,14.139,76.313
1312.3220889696765,13.617,72.64
1326.4322088969677,13.309,70.201
1340.443220889697,13.265,69.2
1355.3443220889696,12.922,66.761
1367.6344322088971,12.037,61.63
1376.9634432208895,9.088,46.272
1379.6963443220893,4.493,22.759
