RPM,Hp,Nm
712.554466474769,1.42,13.802
717.455446647477,2.015,19.482
725.1455446647477,2.559,24.605
733.1145544664748,3.006,28.726
739.3114554466474,3.338,31.676
745.3311455446648,3.567,33.57
752.2331145544665,3.724,34.719
760.1233114554466,3.848,35.507
768.1123311455447,3.973,36.264
774.3112331145546,4.12,37.193
783.9311233114555,4.296,38.356
792.9931123311457,4.497,39.715
800.1993112331146,4.715,41.191
809.9199311233114,4.943,42.702
819.891993112331,5.174,44.19
828.0891993112333,5.404,45.612
839.7089199311232,5.627,46.933
848.9708919931124,5.839,48.124
858.8970891993114,6.038,49.167
871.5897089199312,6.224,50.069
880.0589708919932,6.4,50.858
892.6058970891992,6.571,51.576
901.9605897089199,6.74,52.245
914.5960589708918,6.904,52.857
923.9596058970891,7.056,53.372
937.4959605897088,7.191,53.739
947.8495960589709,7.303,53.93
958.784959605897,7.392,53.953
971.5784959605896,7.464,53.838
980.9578495960591,7.519,53.612
992.6957849596059,7.556,53.262
1003.7695784959607,7.565,52.743
1014.7769578495961,7.538,52.007
1025.7776957849596,7.477,51.063
1036.777769578496,7.396,50.011
1045.9777769578495,7.324,49.042
1055.897777695785,7.297,48.389
1065.8897777695786,7.35,48.265
1076.7889777769578,7.506,48.797
1086.8788977776958,7.769,50.003
1097.7878897777696,8.128,51.784
1109.678788977777,8.557,53.948
1120.7678788977776,9.019,56.259
1134.4767878897778,9.478,58.487
1146.6476787889778,9.908,60.469
1160.4647678788976,10.296,62.141
1173.5464767878898,10.648,63.535
1187.454647678789,10.979,64.752
1200.5454647678791,11.309,65.92
1215.354546476788,11.659,67.158
1230.3354546476787,12.042,68.54
1244.4335454647678,12.462,70.075
1259.3433545464768,12.906,71.689
1275.2343354546476,13.347,73.241
1291.223433545465,13.756,74.576
1307.2223433545464,14.113,75.587
1323.2222343354547,14.41,76.247
1339.2222234335454,14.653,76.599
1355.2222223433544,14.853,76.722
1371.2222222343355,15.028,76.71
1388.1222222234335,15.194,76.646
1403.3122222223433,15.345,76.515
1419.2312222222345,15.442,76.133
1435.2231222222238,15.422,75.215
1451.2223122222224,15.255,73.634
1465.4222312222223,14.993,71.64
1481.2422231222222,14.741,69.728
1492.724222312222,14.563,68.206
1507.3724222312223,14.433,66.966
1523.2372422231224,14.288,65.711
1535.6237242223124,14.103,64.305
1547.6623724222313,13.881,62.764
1560.5662372422232,13.652,61.226
1574.4566237242223,13.498,60.045
1585.745662372422,13.458,59.389
1597.6745662372423,13.46,58.94
1610.5674566237244,13.448,58.446
1623.5567456623726,13.343,57.566
1632.955674566237,13.076,56.015
1646.4955674566233,12.823,54.547
1655.9495567456624,12.629,53.358
1667.6949556745662,13.02,54.618
1677.8694955674566,10.156,42.442
1679.7869495567456,5.088,21.178
