RPM,Hp,Nm
501.7203344353255,2.095,28.687
511.87203344353264,2.592,35.156
521.8872033443532,2.974,39.935
530.0887203344353,3.228,42.828
538.1088720334435,3.364,44.028
547.9108872033444,3.415,44.006
556.0910887203345,3.422,43.341
564.1091088720335,3.421,42.559
573.0109108872034,3.439,42.013
582.0010910887204,3.484,41.846
591.000109108872,3.555,42.023
600.0000109108872,3.641,42.408
609.0000010910887,3.731,42.85
618.9000001091089,3.819,43.248
627.0900000109109,3.903,43.581
636.9090000010912,3.988,43.89
645.9909000001091,4.081,44.254
654.9990900000107,4.188,44.746
664.8999090000011,4.314,45.412
674.8899909,4.46,46.264
683.98899909,4.626,47.284
694.7988999089999,4.811,48.447
705.7798899909,5.014,49.726
716.7779889990901,5.231,51.085
726.8777988999092,5.458,52.464
737.787779889991,5.682,53.758
750.5787779889991,5.883,54.805
761.7578777989,6.038,55.397
772.77578777989,6.118,55.328
785.577578777989,6.102,54.445
797.6577578777989,5.985,52.723
806.9657757877799,5.78,50.308
816.896577578778,5.525,47.538
825.089657757878,5.278,44.907
834.908965775788,5.109,42.972
843.9908965775787,5.081,42.232
852.0990896577578,5.237,42.981
859.2099089657759,5.582,45.218
870.7209908965775,6.081,48.62
881.7720990896578,6.667,52.621
896.3772099089658,7.258,56.561
908.6377209908966,7.78,59.859
923.3637720990897,8.184,62.147
934.7363772099089,8.451,63.317
948.4736377209911,8.591,63.49
962.447363772099,8.632,62.923
973.7447363772101,8.611,61.917
988.3744736377212,8.562,60.754
999.7374473637723,8.517,59.669
1011.6737447363772,8.505,58.838
1024.5673744736378,8.542,58.376
1036.6567374473639,8.637,58.318
1047.7656737447364,8.787,58.628
1060.5765673744736,8.981,59.219
1074.4576567374475,9.206,60.002
1087.5457656737447,9.459,60.93
1099.6545765673745,9.744,62.007
1112.5654576567374,10.06,63.233
1126.4565457656736,10.396,64.528
1140.4456545765674,10.71,65.662
1154.4445654576568,10.94,66.279
1168.4444565457657,11.021,66.028
1182.4444456545766,10.925,64.755
1196.4444445654578,10.68,62.655
1208.644444456546,10.379,60.26
1219.7644444456546,10.143,58.267
1230.7764444445654,10.073,57.247
1241.7776444444567,10.209,57.41
1255.4777644444457,10.519,58.546
1269.4477764444446,10.914,60.151
1281.6447776444445,11.297,61.658
1295.4644777644444,11.59,62.648
1307.6464477764446,11.759,62.945
1321.4646447776443,11.812,62.606
1334.5464644777646,11.783,61.846
1347.5546464477763,11.722,60.936
1359.6554646447778,11.674,60.112
1370.765546464478,11.665,59.504
1384.4765546464478,11.689,59.087
1397.5476554646452,11.715,58.695
1407.8547655464647,11.694,58.094
1420.5854765546462,11.588,57.099
1433.5585476554647,11.391,55.685
1442.9558547655463,11.138,54.034
1454.6955854765547,10.902,52.483
1464.869558547655,10.758,51.403
1475.7869558547657,10.758,51.016
1485.8786955854764,10.89,51.257
1497.6878695585474,11.078,51.762
1507.8687869558548,11.21,52.012
1519.6868786955852,11.194,51.584
1529.8686878695587,11.002,50.362
1539.8868687869556,10.683,48.584
1548.9886868786957,10.333,46.694
1558.8988686878695,10.043,45.103
1567.9898868687872,9.866,44.041
1576.098988686879,9.804,43.509
1586.809898868688,9.794,43.217
1594.180989886869,9.739,42.738
1603.918098988687,9.534,41.622
1612.0918098988689,9.088,39.487
1619.209180989887,8.691,37.576
1627.120918098989,8.68,37.327
1634.2120918098988,8.812,37.707
1643.92120918099,8.611,36.691
1649.3921209180992,7.721,32.777
1655.3392120918097,7.424,31.386
1662.233921209181,7.388,31.11
