RPM,Hp,Nm,afr
3967.345510126401,1.73,3.024,18.075
4040.108044988544,3.332,5.586,18.075
4151.480684016926,5.232,8.509,18.075
4292.738429847475,7.162,11.345,18.063
4436.984686358242,8.82,13.623,18.075
4698.638227671969,9.972,15.013,18.086
4854.924063731053,10.545,15.448,18.075
4987.6610810719,10.64,15.131,18.063
5137.56128883008,10.48,14.43,18.075
5276.1657674372245,10.306,13.723,18.075
5400.628624936495,10.288,13.263,18.086
5582.231537192445,10.479,13.118,18.086
5717.50026215298,10.833,13.214,18.075
5841.629544287588,11.262,13.411,18.075
6036.211147199843,11.687,13.595,18.075
6159.765693033237,12.072,13.714,17.53
6308.747653640673,12.417,13.772,17.205
6466.778379821898,12.741,13.797,16.312
6638.726030753275,13.067,13.822,15.708
6740.4991090994245,13.425,13.877,15.198
6939.351115729219,13.85,13.994,14.514
7089.356798319909,14.366,14.188,14.154
7240.983872603077,14.951,14.436,13.528
7373.255013766331,15.536,14.677,13.249
7575.156826677838,16.048,14.843,12.924
7757.997610378627,16.465,14.917,12.808
7886.8840983872615,16.844,14.942,12.333
8049.411301404991,17.259,14.988,12.031
8221.808600020018,17.724,15.074,11.799
8388.686884098388,18.167,15.144,11.614
8568.025314915863,18.477,15.114,11.614
8722.585664021706,18.61,14.946,11.625
8881.174229052775,18.623,14.688,11.788
9033.659591579977,18.622,14.426,11.799
9198.546682049564,18.656,14.202,11.857
9338.649848927847,18.705,14.007,11.95
9502.298719832545,18.776,13.839,12.031
9655.290112947108,18.951,13.749,12.147
9787.697685993504,19.287,13.77,12.275
9944.070973418628,19.653,13.816,12.414
10109.346856378008,19.741,13.678,12.437
10242.982878408886,19.211,13.134,12.576
10373.454914346914,17.901,12.091,12.669
10484.092479386498,15.83,10.579,12.878
10573.228525047083,13.285,8.798,12.866
10640.696346480612,10.617,6.981,12.959
10692.985297298663,8.383,5.481,13.122
10737.250336958781,7.302,4.755,13.214
10780.712985503107,5.086,3.303,13.296
10785.05925035754,2.371,1.541,13.365
