RPM,Hp,Nm,afr
2417.649640109317,0.134,0.414,18.063
2426.851195196274,0.135,0.443,18.063
2428.70921590517,0.18,0.596,18.063
2428.8950179760595,0.328,1.025,18.063
2441.9256463759198,0.637,1.859,18.063
2449.7347333122902,1.132,3.144,18.075
2528.587931162554,1.797,4.805,18.063
2601.5334919114357,2.57,6.655,18.063
2719.4304576248787,3.363,8.446,18.063
2861.340636123934,4.087,9.95,18.086
2973.1220154196226,4.681,11.025,18.063
3107.9146111805167,5.128,11.646,18.063
3245.0083285879314,5.445,11.893,18.063
3362.814085870841,5.673,11.896,18.075
3485.197071237687,5.85,11.779,18.063
3601.53175531654,5.998,11.625,18.075
3749.7917297485214,6.127,11.467,18.063
3868.7141127338887,6.245,11.321,18.063
3997.714784767365,6.373,11.207,18.063
4121.217261609268,6.549,11.172,18.063
4224.651846642854,6.815,11.267,18.063
4352.103738881153,7.193,11.52,18.052
4488.463385936308,7.671,11.905,18.063
4619.207784376765,8.198,12.348,18.063
4781.920778437677,8.707,12.747,18.063
4921.806535675094,9.148,13.027,18.063
5059.40956923016,9.504,13.167,17.332
5222.808426802535,9.806,13.211,16.532
5356.256746294711,10.105,13.232,15.616
5473.697963786099,10.447,13.299,14.896
5654.598712041261,10.854,13.439,14.305
5802.809268794488,11.309,13.635,13.829
5934.73875820475,11.779,13.843,13.632
6123.594357748185,12.231,14.019,13.365
6246.576303244698,12.647,14.142,13.145
6428.031124300373,13.028,14.217,12.901
6563.285040140881,13.391,14.265,12.507
6739.4610341345715,13.759,14.313,12.228
6887.199115461651,14.154,14.383,11.834
7038.599429618454,14.591,14.488,11.672
7222.896087540159,15.074,14.632,11.579
7364.940211163655,15.595,14.8,11.44
7528.78317774287,16.128,14.972,11.498
7714.324100906818,16.641,15.116,11.115
7869.504699247308,17.094,15.2,11.068
8034.661313298226,17.453,15.202,11.01
8207.321553016569,17.714,15.121,10.976
8367.720107108886,17.913,14.991,11.034
8533.398516734984,18.11,14.863,11.01
8693.098887818076,18.343,14.769,11.034
8839.189406854097,18.596,14.697,11.138
9022.955085263724,18.807,14.603,11.277
9171.452135032396,18.931,14.452,11.37
9329.434370129748,18.982,14.251,11.521
9475.353075567193,19.013,14.043,11.602
9633.077476231418,19.096,13.879,11.672
9778.970398225552,19.312,13.813,11.776
9936.692220545445,19.639,13.827,11.996
10076.078860608763,19.753,13.704,12.124
10226.64403063919,19.102,13.081,12.426
10365.315005473558,17.438,11.807,12.611
10463.760416210009,15.146,10.149,12.681
10525.653150054735,12.961,8.602,12.808
10622.926760788609,11.201,7.375,12.913
10684.702314633078,9.632,6.305,13.006
10736.422038692222,7.766,5.063,13.098
10767.61810748368,4.898,3.187,13.122
10777.24373845921,3.89,2.522,13.272
10810.18207593881,3.952,2.561,13.307
