RPM,Hp,Nm,afr
1434.6837505302676,0.1,0.628,12.808
1447.8162011399831,0.277,1.46,12.82
1501.3033592444333,0.576,2.695,12.808
1633.8259880983564,1.025,4.304,12.797
1774.2521640272269,1.635,6.178,12.797
1961.1208685766355,2.39,8.131,12.808
2211.329478162011,3.233,9.928,12.832
2477.6546869466356,4.064,11.329,12.797
2758.635033912055,4.768,12.147,12.785
3047.602633825988,5.26,12.329,12.785
3308.0211329478166,5.544,12.015,12.681
3575.3673306860856,5.734,11.511,12.658
3774.928037416435,6.011,11.186,12.669
4000.3188906981654,6.538,11.303,12.681
4290.249280374164,7.383,11.911,12.623
4593.1553628200245,8.504,12.86,12.576
4913.6633623689595,9.797,13.914,12.53
5239.192423193418,11.156,14.879,12.46
5601.093155362821,12.506,15.656,12.298
5953.587576405847,13.795,16.226,12.066
6331.228322857976,14.996,16.607,11.799
6708.122832285798,16.117,16.849,11.683
7078.420978880754,17.196,17.012,11.672
7454.581228322857,18.267,17.143,11.683
7837.849427180111,19.318,17.246,11.683
8228.350160109314,20.322,17.302,11.648
8600.00892905441,21.279,17.313,11.625
8986.08784942718,22.181,17.277,11.695
9357.304437116632,22.874,17.105,11.857
9733.556530668184,23.313,16.772,12.066
10074.442609588557,23.022,16.006,12.159
10395.487739219727,21.728,14.646,12.368
10646.070513052407,18.373,12.111,12.658
10804.824442609588,13.238,8.557,12.924
