RPM,Hp,Nm,afr
2354.6184862940827,1.941,5.259,12.008
2589.391715618526,3.088,7.858,12.066
2860.9947942946214,4.187,10.038,12.101
3129.7512327547347,5.057,11.407,12.136
3408.0174449199717,5.627,11.893,12.147
3654.5865086999784,5.97,11.763,12.124
3884.926607339163,6.272,11.473,12.078
4123.43824719099,6.742,11.444,12.112
4388.885541768676,7.523,11.891,12.101
4686.409714999118,8.644,12.785,11.985
5013.260076699429,10.034,13.926,11.973
5346.307869822302,11.569,15.079,11.718
5722.417969569898,13.127,16.067,11.474
6099.56948740439,14.624,16.813,11.231
6480.0899596231475,16.014,17.316,11.045
6880.536202733779,17.283,17.617,11.115
7266.650960055724,18.444,17.774,11.184
7670.921444252247,19.545,17.853,11.277
8057.4186256827825,20.612,17.894,11.312
8455.197727139017,21.606,17.879,11.509
8850.840208022246,22.432,17.749,11.567
9239.739401697023,23.128,17.533,11.59
9605.110578621941,23.637,17.211,11.915
9977.92339159859,23.845,16.721,12.17
10322.097055000246,22.963,15.598,12.426
10607.904989659637,20.487,13.541,12.53
10806.256037055446,15.625,10.14,12.484
10891.387393306512,8.591,5.505,12.356
