RPM,Hp,Nm,afr
2457.0942312832735,2.253,5.896,13.713
2694.3188548091016,3.413,8.445,13.69
2969.4318854809103,4.47,10.447,13.667
3254.863382018467,5.298,11.636,13.62
3511.943411962427,5.9,12.082,13.481
3749.8642323691574,6.394,12.124,13.458
4008.7228198511843,6.939,12.153,13.354
4292.528872069762,7.648,12.418,13.307
4585.359295913144,8.542,12.947,13.319
4895.416219796877,9.566,13.614,13.203
5226.784669138092,10.65,14.27,13.168
5547.225020722757,11.756,14.837,12.994
5895.955875711938,12.882,15.313,12.797
6240.986155890419,14.022,15.72,12.414
6598.70562889013,15.143,16.053,12.159
6967.488458898686,16.203,16.288,12.124
7337.377624608129,17.183,16.421,12.194
7687.78854843421,18.098,16.476,12.228
8059.105336100978,18.995,16.503,12.321
8425.983085000666,19.925,16.55,12.356
8792.416930023646,20.853,16.597,12.321
9155.54157208338,21.741,16.609,12.252
9531.394544149089,22.461,16.509,12.228
9875.872223459652,23.076,16.334,12.217
10227.00681122142,22.74,15.584,12.391
10529.834901194694,20.809,13.862,12.449
10736.417589273036,16.171,10.573,12.414
10828.901734743507,9.117,5.872,12.275
