RPM,Hp,Nm,afr
2768.3225358412324,2.678,6.252,16.138
3045.393317671185,3.973,8.836,15.952
3324.490964173406,5.105,10.786,15.453
3587.467234264983,5.973,11.896,15.105
3845.5665541399203,6.628,12.33,14.896
4103.178178993194,7.238,12.49,14.699
4383.594722373322,7.988,12.763,14.56
4685.880633059582,8.989,13.35,14.421
5019.736793656623,10.254,14.224,14.247
5353.485166669169,11.715,15.228,13.98
5729.665324405732,13.269,16.185,13.702
6106.823848039122,14.803,16.956,13.156
6503.669083715642,16.201,17.462,12.843
6892.688552869751,17.373,17.668,12.611
7287.4550705227675,18.286,17.606,12.669
7666.472230147803,18.989,17.36,12.6
8034.120016243317,19.517,17.001,12.669
8397.366052410307,19.852,16.543,12.832
8753.642288433291,19.988,15.992,12.948
9086.367856412859,19.919,15.35,13.238
9390.619856983487,19.569,14.575,13.504
9701.818938539946,18.761,13.556,13.829
9954.946101834648,17.589,12.371,14.061
10189.206823000875,16.218,11.139,14.363
10401.992024500816,14.798,9.953,14.572
10586.511173429528,13.294,8.792,14.862
