RPM,Hp,Nm,afr
3259.839912520326,2.745,5.554,14.734
3522.235502739337,4.294,8.286,14.676
3803.130442656038,5.827,10.678,14.63
4085.875317542508,7.219,12.462,14.525
4372.06999850153,8.463,13.65,14.514
4694.522598399125,9.642,14.452,14.398
5040.1898656440235,10.852,15.103,14.142
5391.443412199228,12.134,15.73,13.957
5762.844462138908,13.46,16.33,13.632
6132.995449841461,14.772,16.839,13.156
6525.875119349322,16.023,17.208,12.994
6914.498031886564,17.192,17.434,12.866
7289.636018424449,18.28,17.545,12.82
7689.544012966992,19.278,17.562,12.774
8075.604945432129,20.176,17.5,12.739
8457.016359113952,20.992,17.382,12.704
8834.698008341868,21.818,17.277,12.75
9215.271493699966,22.665,17.197,12.959
9579.810099793214,23.224,16.94,13.156
9952.539655686698,22.898,16.135,13.238
10257.527242473145,21.051,14.408,13.4
10493.709193412975,17.758,11.866,13.62
10657.714329256652,13.153,8.638,13.934
10749.205532079231,8.523,5.52,14.224
10777.943527814936,3.525,2.301,14.386
