RPM,Hp,Nm,afr
2811.99279681628,3.092,7.126,13.876
3115.0565952801767,4.443,9.763,13.725
3393.4887308702187,5.568,11.604,13.562
3662.9280750217254,6.402,12.534,13.574
3924.938514878231,7.052,12.837,13.504
4199.265314607534,7.726,12.987,13.446
4497.6774383531365,8.61,13.364,13.354
4818.086969953814,9.774,14.089,13.191
5163.549930369021,11.17,15.043,13.191
5531.107109119127,12.682,16.011,13.017
5910.6681474294455,14.197,16.822,12.739
6297.959196846936,15.639,17.408,12.426
6695.817685101863,16.987,17.788,12.321
7094.732917240537,18.254,18.023,12.298
7500.2834489187335,19.445,18.157,12.368
7896.70307282416,20.552,18.207,12.321
8305.268856254606,21.54,18.16,12.379
8701.990005335256,22.317,17.967,12.379
9084.467440678629,22.939,17.676,12.449
9472.050129799423,23.457,17.342,12.623
9830.76003111779,23.98,17.04,12.797
10202.90671653379,23.677,16.263,13.029
10517.630453999209,21.929,14.619,13.226
10748.256394855785,17.673,11.543,13.11
10872.528178784249,11.192,7.184,13.017
