RPM,Hp,Nm,afr
3901.839432597236,3.022,5.263,18.063
4020.545389042856,4.443,7.587,18.063
4162.536466615129,5.788,9.678,18.063
4280.831959914525,6.944,11.334,18.063
4429.28801526856,7.867,12.488,18.063
4554.736030442519,8.571,13.193,18.063
4716.919386176783,9.102,13.562,18.063
4863.2582036779195,9.506,13.712,18.04
5014.51859145213,9.821,13.731,18.063
5172.777160350031,10.083,13.684,18.063
5325.229523263919,10.341,13.634,18.063
5464.089217386633,10.647,13.64,18.063
5608.095668726616,11.029,13.734,17.715
5765.628843981095,11.475,13.901,17.089
5911.502643434255,11.933,14.08,16.787
6088.74062578921,12.345,14.205,16.358
6262.6090023379575,12.688,14.245,15.743
6377.586201438616,12.98,14.222,15.337
6551.73452375832,13.265,14.185,14.618
6699.269837918,13.582,14.181,14.34
6857.155899454451,13.951,14.231,13.992
7035.595108017734,14.389,14.348,13.609
7170.547462609003,14.917,14.54,13.33
7340.187276381382,15.547,14.811,13.052
7506.789811975487,16.249,15.131,12.89
7679.594643848151,16.938,15.425,12.228
7853.019705348672,17.503,15.6,12.217
8026.506789811975,17.867,15.595,12.02
8200.00007657156,18.035,15.422,12.008
8360.481935368,18.079,15.152,11.822
8506.650603175354,18.102,14.876,11.846
8690.424096462113,18.188,14.665,11.788
8838.9219277185,18.38,14.549,11.834
8990.398216868236,18.641,14.495,11.846
9161.690424096461,18.876,14.429,11.927
9308.940126746997,19.023,14.301,11.985
9473.303651228916,19.102,14.127,12.008
9619.860485604819,19.157,13.941,11.973
9758.130626873735,19.193,13.751,12.008
9928.102219313882,19.241,13.578,12.008
10062.207812292834,19.305,13.423,12.275
10199.232829422055,19.194,13.159,12.17
10349.561837159074,18.518,12.534,12.495
10462.18509937856,16.162,10.831,12.53
10551.519714757134,13.23,8.786,12.727
10605.995344969691,11.902,7.833,12.832
10696.021221243958,9.134,5.977,12.913
10716.984308597981,5.833,3.812,13.11
