RPM,Hp,Nm,afr
2448.1046904518944,2.024,5.265,11.788
2743.5909568500683,3.332,7.977,11.834
3076.798120075251,4.724,10.427,11.741
3457.679812007525,6.039,12.248,11.915
3825.0362738836793,7.17,13.305,12.136
4209.332895681051,8.092,13.707,12.379
4577.030850543714,8.856,13.709,12.565
4954.044548469006,9.548,13.576,12.472
5328.331284115193,10.26,13.5,12.6
5698.686786948106,11.075,13.577,12.518
6094.25892259725,12.056,13.833,12.449
6485.035648357287,13.244,14.257,12.391
6900.9425892259715,14.639,14.807,12.437
7337.6552345323535,16.186,15.407,12.576
7791.082596623966,17.777,15.956,12.716
8246.181430394105,19.279,16.357,12.901
8716.081557673557,20.559,16.531,13.133
9165.510594791745,21.495,16.433,13.214
9612.89252289381,22.017,16.061,13.377
10038.118520582064,22.191,15.498,13.423
10442.83624230211,22.184,14.877,13.423
10819.893380327774,22.149,14.304,13.528
11208.818606325458,21.94,13.696,13.655
11558.686738681326,21.402,12.957,13.748
11871.722332404719,19.719,11.642,13.667
12122.538086899007,16.118,9.329,13.516
12253.717223324047,11.16,6.369,13.446
12296.103429649478,4.676,2.659,13.342
