RPM,Hp,Nm,afr
2356.791681516788,2.627,6.914,12.02
2742.561759244796,4.324,10.355,11.95
3167.3735848313618,6.046,13.188,12.008
3588.8021358110714,7.553,14.942,12.112
4020.8235334191636,8.737,15.607,12.391
4435.685592208313,9.661,15.562,12.484
4852.475441811925,10.523,15.335,12.542
5269.458070496982,11.569,15.356,12.495
5693.747426482897,12.973,15.81,12.31
6177.067050340597,14.764,16.627,12.159
6666.289700985477,16.817,17.577,12.008
7192.539901272637,18.913,18.401,12.124
7718.849131827668,20.816,18.906,12.205
8237.876816016775,22.311,18.991,12.31
8759.820070265645,23.366,18.712,12.286
9241.973909860573,23.901,18.107,12.24
9705.57390920468,23.747,17.123,12.286
10127.237552863788,22.185,15.371,12.321
10446.326994152776,18.822,12.635,12.31
10642.203549617707,12.808,8.421,12.17
10665.434929860556,4.378,2.866,12.066
