RPM,Hp,Nm,afr
2495.4225191542096,2.964,7.406,12.89
2905.639812891031,4.73,10.819,12.774
3316.173737386664,6.459,13.507,12.797
3759.666154226471,7.927,15.069,12.878
4173.5275910324035,9.068,15.587,12.971
4595.401539591045,9.992,15.501,13.064
5021.735275910324,10.92,15.344,13.168
5437.539381249569,12.077,15.486,13.006
5885.217352759105,13.592,16.036,12.855
6372.668076739325,15.451,16.873,12.646
6878.730222308079,17.511,17.768,12.565
7401.28765637715,19.534,18.473,12.669
7925.494619296253,21.277,18.817,12.739
8457.183608271089,22.566,18.741,12.936
8953.03543399784,23.504,18.392,13.017
9434.327933643686,24.021,17.805,12.959
9899.53035433998,23.747,16.79,13.017
10308.245718360828,21.665,14.762,13.029
10586.922132811693,16.797,11.141,12.994
10717.228798647022,11.011,7.157,12.82
10752.210684742751,3.791,2.472,12.669
