RPM,Hp,Nm,afr
1859.699312586637,1.338,4.415,11.927
2148.304148765295,2.601,7.63,11.962
2520.9312106324974,4.083,10.808,11.927
2919.8650043523744,5.579,13.323,11.95
3325.010373114282,6.938,14.871,12.194
3730.7768993803925,8.117,15.552,12.159
4143.767345110453,9.183,15.737,12.124
4564.6419865004345,10.268,15.829,12.159
4989.885949313173,11.509,16.101,12.112
5444.214059122298,12.985,16.627,12.124
5897.869681774298,14.675,17.316,12.02
6401.59068170528,16.478,18.003,12.101
6899.5755137938695,18.271,18.549,12.182
7404.148532811748,19.943,18.876,12.321
7902.218566809024,21.374,18.944,12.379
8413.9619097313,22.565,18.801,12.333
8891.263564978433,23.433,18.449,12.321
9361.54014960129,24.125,18.009,12.205
9809.628816021137,23.512,16.805,12.228
10183.880653485401,20.325,14.032,12.252
10393.189126356498,15.384,10.366,12.194
10507.22342191947,8.438,5.602,12.078
