RPM,Hp,Nm,afr
2106.155600823575,1.939,5.64,11.683
2463.0028279868666,3.416,8.98,11.706
2846.0350308092966,5.024,12.009,11.695
3249.5902404814597,6.545,14.181,11.695
3665.940456408888,7.854,15.342,11.88
4072.8274673915516,8.97,15.74,11.938
4489.51086345003,10.037,15.831,12.02
4910.754799872855,11.235,16.021,11.95
5350.359299615932,12.688,16.499,11.973
5816.866168688383,14.403,17.22,11.927
6314.710489547882,16.283,18.005,11.857
6819.269457442852,18.187,18.669,12.101
7328.080791898133,19.962,19.087,12.136
7840.898264866206,21.51,19.227,12.344
8354.116351685558,22.747,19.094,12.298
8842.308186892695,23.775,18.809,12.286
9320.835593225078,24.378,18.285,12.275
9773.330243672639,23.683,16.985,12.286
10158.76538510997,20.957,14.512,12.286
10387.096697662191,15.881,10.717,12.252
10513.775982763567,9.838,6.509,12.147
10519.282107560175,2.474,1.656,11.927
