RPM,Hp,Nm,afr
3411.731869911164,4.36,8.298,13.075
3824.100016259409,6.63,11.805,13.214
4260.458782113747,8.703,14.393,13.272
4695.558073333325,10.429,15.844,13.226
5134.189953674795,11.909,16.47,13.168
5598.784849026016,13.366,16.795,13.087
6084.268728805041,14.967,17.186,13.017
6586.4756533683085,16.739,17.721,12.82
7101.3304921661,18.582,18.273,12.866
7628.42573214344,20.342,18.671,12.89
8145.769402482637,21.839,18.787,12.936
8673.113525614119,23.094,18.672,12.89
9164.872328171168,24.018,18.336,12.727
9653.072598670775,24.468,17.726,12.669
10107.990186696346,23.366,16.228,12.669
10457.140482084269,19.714,13.244,12.576
10656.689657964525,14.257,9.359,12.426
10738.839697503772,6.78,4.407,12.356
