RPM,Hp,Nm,afr
3912.0187725222363,2.77,4.771,18.086
4034.9265736084985,4.618,7.703,18.075
4251.265936713076,6.519,10.549,18.075
4440.511209055922,8.187,12.829,18.075
4648.909420500734,9.417,14.249,18.086
4844.648027070317,10.137,14.774,18.075
5039.120673152376,10.405,14.591,18.086
5233.466723185683,10.385,14.016,18.052
5420.512664221403,10.313,13.408,18.075
5592.253695571937,10.441,13.081,18.086
5769.751685346669,10.927,13.198,18.26
5918.675573392966,11.72,13.677,18.075
6152.191443978973,12.562,14.213,18.075
6394.16651281895,13.148,14.47,18.075
6556.825558164485,13.383,14.338,18.086
6777.140045694991,13.487,14.039,16.95
6915.770684731442,13.818,13.937,15.894
7119.107432845613,14.521,14.194,15.43
7321.627342474845,15.371,14.61,14.757
7582.365163397282,15.992,14.83,14.34
7754.1879333437755,16.274,14.738,14.026
7946.268995763527,16.558,14.612,13.748
8140.375887430604,17.297,14.838,13.574
8356.54771020055,18.526,15.453,13.481
8596.788374258922,19.734,16.047,13.296
8832.148473053423,20.341,16.157,13.238
9030.583268357974,20.142,15.64,13.18
9225.32553331353,19.342,14.691,13.191
9412.411095841475,18.357,13.655,13.133
9576.868639948521,17.21,12.57,13.145
9731.775932820763,16.473,11.835,13.122
9856.578402998677,11.543,8.219,13.284
9860.83299050772,3.687,2.609,13.214
