RPM,Hp,Nm,afr
3910.752079375068,3.492,5.782,18.075
4187.836341540746,5.57,9.004,18.075
4397.731002575128,7.519,11.846,18.063
4579.044355318242,9.039,13.826,18.063
4779.361925410366,9.994,14.777,18.086
4967.005018451967,10.444,14.866,18.052
5175.243011966654,10.585,14.47,18.075
5370.965596743224,10.665,13.993,18.075
5558.149191253269,10.883,13.729,18.04
5715.3290891658135,11.336,13.786,18.075
5920.520763167595,12.005,14.108,18.075
6137.80106417101,12.782,14.541,18.121
6370.865126660015,13.523,14.913,18.052
6532.633071370455,14.14,15.128,17.611
6774.720797015589,14.692,15.246,16.184
6981.115804397915,15.41,15.478,15.65
7198.516438739387,16.522,16.026,14.769
7431.592534562198,17.957,16.828,14.734
7629.798929569581,19.28,17.512,14.177
7977.554791742384,20.03,17.687,13.713
8194.516612777477,20.118,17.285,13.574
8354.674333342524,19.787,16.542,13.33
8596.601036573118,19.303,15.719,13.168
8802.979941713993,18.825,14.967,13.214
9027.66641522403,18.618,14.47,13.284
9159.446803465722,18.938,14.39,12.971
9398.535773463982,19.537,14.528,13.168
9597.34345588891,19.655,14.337,13.18
9777.548110771077,17.575,12.635,13.214
9904.880317149982,14.922,10.572,13.238
9997.775481107712,14.607,10.173,13.33
10174.676333535872,13.869,9.533,13.562
10287.103260883952,13.563,9.24,13.609
