RPM,Hp,Nm,afr
4270.521586195905,1.835,2.767,11.092
4827.839560194394,3.02,4.187,10.767
5457.587105625739,4.223,5.366,10.488
6115.837450720055,5.295,6.121,10.558
6791.111304127123,6.169,6.454,10.732
7446.8276658457835,6.84,6.486,11.057
8114.761506742059,7.319,6.342,11.358
8748.484024689953,7.602,6.093,11.648
9329.179111130412,7.684,5.766,12.043
9883.311611900443,7.597,5.386,12.252
10378.094940717603,7.397,4.989,12.565
10838.596895646566,7.128,4.599,12.994
11274.410870667018,6.851,4.25,13.342
11658.149748484024,6.459,3.876,13.91
12008.334659887772,6.026,3.511,14.49
12270.124804571456,4.33,2.48,15.221
12296.303819039824,1.706,0.967,15.558
