RPM,Hp,Nm,afr
3514.805839211294,1.122,1.987,12.727
3958.5671980943575,1.714,2.897,12.402
4484.833097762192,2.203,3.539,12.101
4905.963624736849,2.59,3.886,11.73
5139.415260111479,3.011,4.116,11.706
5630.476959082014,3.626,4.449,12.054
6203.992577797966,4.487,4.963,12.692
6828.27327352783,5.486,5.546,13.052
7500.150161998454,6.424,5.994,13.551
8141.353598877011,7.126,6.168,13.934
8758.229848076679,7.513,6.052,14.026
9344.326921815542,7.603,5.728,14.003
9877.739778795729,7.459,5.297,13.76
10363.364529060675,7.184,4.849,13.992
10808.777397787959,6.868,4.44,14.235
11214.736007495334,6.565,4.089,14.606
11602.575962954257,6.216,3.749,14.676
11938.997753775739,5.999,3.511,15.43
12227.75804309411,4.429,2.548,15.697
12263.720686199174,1.917,1.09,16.022
