RPM,Hp,Nm,afr
3787.2846818715334,0.957,1.635,16.045
4162.718615970404,1.945,3.027,15.117
4692.380235981277,3.105,4.455,14.572
5290.6665950267,4.253,5.61,14.119
5875.864689059321,5.262,6.338,14.038
6473.0544492015,6.092,6.663,14.282
7084.7438685654715,6.743,6.707,14.247
7691.233007546203,7.197,6.571,14.444
8277.251379572353,7.428,6.301,14.386
8808.0207044597,7.447,5.932,14.189
9280.063154189813,7.314,5.515,14.084
9739.582670098784,7.117,5.111,13.783
10164.59866109855,6.893,4.742,13.597
10552.9130680803,6.627,4.391,13.644
10910.956331438574,6.207,3.984,13.864
11212.770509991147,5.616,3.507,14.073
11449.109563314385,4.445,2.723,14.131
11565.846916922574,2.807,1.697,13.852
