RPM,Hp,Nm,afr
4242.216158495667,0.939,1.478,11.938
4580.625556736266,1.84,2.679,12.228
5026.781767496289,2.917,3.947,12.205
5550.215122562438,4.042,5.055,12.484
6107.9771772808745,5.108,5.866,12.611
6689.122840880798,6.044,6.352,13.075
7305.858096895963,6.793,6.546,13.446
7912.851819541815,7.298,6.496,13.887
8478.969911018221,7.536,6.251,13.934
9001.09896154517,7.543,5.882,14.119
9478.927630144664,7.398,5.463,14.073
9932.375521635155,7.211,5.074,14.038
10350.134103887654,6.992,4.719,14.073
10737.722769994676,6.627,4.317,14.258
11075.742720349223,5.904,3.739,14.699
11309.05210454724,4.704,2.916,14.711
11445.43723015916,3.091,1.886,14.641
11465.725989025768,1.049,0.641,14.757
