RPM,Hp,Nm,afr
2990.281036943915,0.676,1.416,13.609
3384.7423894086783,1.371,2.621,13.945
3863.1047808127896,2.2,3.867,14.374
4343.207029805417,3.076,4.928,14.224
4870.034988694827,3.942,5.697,14.316
5441.436996406429,4.785,6.195,14.444
6057.197886832762,5.599,6.5,14.653
6664.09417291973,6.349,6.664,14.792
7303.355230099855,6.96,6.686,14.954
7892.650793945946,7.35,6.536,15.024
8456.999069542378,7.469,6.21,14.769
8972.300892175914,7.361,5.766,14.595
9429.496099069811,7.168,5.32,14.293
9860.929905473486,6.965,4.93,14.073
10276.487079217299,6.7,4.557,14.003
10670.505850778874,6.468,4.244,14.177
10975.917580151781,6.062,3.859,14.293
11299.069590527493,5.234,3.251,14.316
11464.389717673437,3.783,2.312,14.34
11520.823208220545,1.753,1.063,14.316
