RPM,Hp,Nm,afr
3042.9590113125373,0.908,1.909,12.855
3423.2614183726328,1.656,3.156,13.354
3900.2079152362785,2.49,4.335,13.644
4433.3705452182085,3.297,5.225,13.899
4998.755773733644,4.028,5.766,14.142
5507.51104535366,4.712,6.051,14.166
6070.455538032903,5.399,6.226,14.363
6672.0701843451625,6.093,6.368,14.618
7290.852338631561,6.73,6.453,15.186
7878.10001218828,7.208,6.413,15.534
8435.593252450355,7.449,6.202,15.801
8963.510064161292,7.45,5.841,15.743
9441.917508879185,7.293,5.416,16.056
9875.472539065257,7.075,5.007,16.381
10297.892081492733,6.885,4.671,16.636
10685.946843617254,6.615,4.329,17.17
11037.313896184385,6.266,3.973,18.075
11318.50971474159,5.013,3.112,18.075
11439.732744873174,3.081,1.881,18.086
