RPM,Hp,Nm,afr
4212.452143280274,1.528,2.449,12.901
4564.34866260389,2.43,3.629,12.739
5018.503831777632,3.411,4.693,12.843
5562.687821601409,4.407,5.534,13.052
6135.825432406446,5.352,6.115,13.354
6738.459390531287,6.181,6.44,13.829
7370.64396860978,6.826,6.529,13.922
7939.281145629453,7.233,6.407,14.026
8481.612843626985,7.372,6.103,13.91
9001.363254806049,7.296,5.691,13.794
9478.954059470754,7.137,5.278,13.203
9865.87570151358,6.973,4.92,12.878
10323.533382959242,6.749,4.576,12.866
10695.161220069323,6.504,4.255,12.994
11011.634348607917,6.007,3.816,13.145
11309.291513678525,5.041,3.129,13.226
11452.111417377704,3.351,2.048,13.214
11459.743161442208,0.997,0.608,13.18
