RPM,Hp,Nm,afr
2241.437512072936,0.606,1.812,10.21
2322.2757561886133,1.073,3.045,10.187
2464.855221945138,1.597,4.336,10.164
2610.2464188321223,2.096,5.466,10.129
2769.368352966649,2.485,6.23,10.048
2919.7761877250587,2.7,6.511,9.92
3099.574131848471,2.725,6.323,9.804
3241.9623945048966,2.6,5.801,9.723
3323.449041443018,2.404,5.159,9.688
3388.7583537084365,2.233,4.616,9.584
3516.3353621454394,2.176,4.344,9.549
3619.8776208969853,2.3,4.434,9.618
3737.828359848105,2.631,4.889,9.758
3870.6695109536777,3.152,5.631,9.734
4008.3620943083192,3.8,6.522,9.816
4207.062859493099,4.484,7.396,9.908
4428.676398029012,5.127,8.127,9.908
4652.581213900037,5.704,8.673,9.966
4846.453638201959,6.256,9.097,10.048
5057.497169548715,6.87,9.521,10.233
5290.432157801696,7.626,10.051,10.732
5565.904984148789,8.549,10.718,11.242
5832.182030170795,9.598,11.461,11.556
6131.163408496533,10.687,12.169,11.892
6440.140002119891,11.716,12.733,11.996
6743.3913352057625,12.599,13.082,12.136
7056.157315338758,13.28,13.192,12.333
7369.874760176467,13.739,13.083,12.368
7660.150614249279,13.989,12.799,12.518
7951.444700279225,14.062,12.395,12.553
8219.303872269516,13.987,11.912,12.658
8488.181943889467,13.805,11.391,12.553
8740.349950304264,13.575,10.878,12.576
8974.034995030426,13.359,10.414,12.495
9202.509352554101,13.17,10.007,12.379
9427.100250323903,12.938,9.602,12.286
9647.940411084694,12.588,9.143,12.17
9834.781587808346,12.154,8.65,12.147
10024.947648195528,11.693,8.165,12.089
10195.271850747324,11.189,7.677,11.938
10370.336649582827,10.509,7.101,11.95
10508.889206676837,9.829,6.546,11.938
10647.152930630324,9.39,6.17,11.857
10788.750162303382,9.158,5.938,11.776
10923.955962681148,9.148,5.865,11.869
