RPM,Hp,Nm,afr
3174.059462244685,0.323,0.768,14.247
3198.9750620401596,0.768,1.685,14.27
3258.627269591314,1.389,2.895,14.293
3385.63856755689,2.151,4.299,14.305
3559.7344669673953,2.992,5.741,14.142
3735.1764354887696,3.829,7.055,13.62
3937.6521391902224,4.587,8.105,13.064
4156.280780544178,5.217,8.829,12.53
4383.249497730632,5.721,9.251,12.031
4624.501786634832,6.149,9.474,11.799
4836.920913408191,6.584,9.642,11.776
5036.369550867595,7.118,9.889,11.811
5284.95700489996,7.813,10.297,12.101
5545.18312265687,8.683,10.87,12.437
5833.472235055227,9.688,11.544,12.681
6124.567646917725,10.746,12.211,12.75
6436.118034928385,11.761,12.764,13.006
6746.351529520237,12.649,13.126,13.029
7059.81572580383,13.351,13.263,13.122
7370.240601222975,13.845,13.186,13.203
7676.999153522049,14.132,12.93,13.261
7953.129554206502,14.235,12.542,13.261
8243.009094897612,14.184,12.068,13.284
8504.002030286772,14.016,11.546,13.214
8758.743914112114,13.767,11.008,13.133
8999.41112864658,13.467,10.476,13.017
9225.22131211746,13.132,9.959,12.89
9442.821010414735,12.76,9.454,12.774
9646.150096060153,12.341,8.95,12.646
9851.414511474013,11.869,8.44,12.542
10019.88615849485,11.347,7.924,12.46
10201.490483844505,10.787,7.408,12.368
10340.696993589929,10.2,6.898,12.379
10499.2004590103,9.598,6.401,12.194
10632.734491729174,9.007,5.931,12.089
10767.133972211524,8.482,5.52,11.985
10861.271305066733,8.085,5.202,11.927
10991.731115562714,7.855,4.999,11.822
11098.92404555378,7.754,4.884,11.718
11213.87746059523,7.664,4.781,11.683
11319.519751040843,7.436,4.598,11.672
11427.5933200605,6.995,4.292,11.637
11512.373279702191,6.423,3.91,11.683
11581.374314271592,5.896,3.562,11.625
11658.884629434633,5.524,3.314,11.637
11730.52109058979,5.262,3.137,11.637
11808.294948411409,5.006,2.969,11.625
11869.870590731554,4.734,2.793,11.637
11916.376847367053,4.441,2.607,11.637
11984.912902669457,4.115,2.405,11.637
12032.115200603184,3.948,2.296,11.683
12077.184122800045,3.788,2.194,11.788
12132.126880524089,3.242,1.872,11.846
12157.795502498238,2.973,1.711,11.915
12197.348666065518,2.783,1.597,11.962
