RPM,Hp,Nm,afr
3048.8291616970005,1.943,4.156,10.384
3263.7870257587415,2.714,5.674,10.407
3500.4758383168455,3.331,6.781,10.5
3658.6403609176123,3.771,7.421,10.442
3720.1050919314844,4.099,7.723,11.416
3915.9706586327497,4.422,7.913,12.078
4120.488722152192,4.826,8.178,12.542
4335.959208454322,5.34,8.585,12.542
4569.336892202841,5.939,9.093,12.379
4787.69334052788,6.584,9.622,12.205
5031.446793579563,7.266,10.128,12.205
5281.1023381375335,8.006,10.625,12.437
5548.160047014252,8.84,11.152,12.658
5816.957972322844,9.782,11.727,12.658
6119.553829610865,10.804,12.321,12.658
6428.891871130452,11.83,12.855,12.634
6742.266522106818,12.764,13.241,12.634
7062.769616096112,13.516,13.412,12.634
7373.898381285827,14.034,13.345,12.704
7684.089713595581,14.309,13.069,12.774
7967.2881743483495,14.365,12.633,12.808
8247.78734794542,14.238,12.092,12.832
8517.92941972605,13.979,11.5,12.866
8763.499044089665,13.661,10.912,12.855
9003.249032677957,13.355,10.381,12.75
9225.605102520598,13.088,9.919,12.542
9446.221780488671,12.809,9.485,12.414
9663.30212823567,12.456,9.028,12.344
9853.129714691564,11.988,8.519,12.205
10030.144851917476,11.39,7.948,12.182
10202.516353186766,10.671,7.325,12.078
10354.249144658654,9.911,6.702,11.973
10487.106109982678,9.246,6.168,11.985
10621.43788372554,8.719,5.743,11.869
10745.829965209416,8.367,5.449,11.753
10862.503295400147,7.769,5.008,11.718
10961.592795293442,7.037,4.495,11.695
