RPM,Hp,Nm,afr
3200.2527122727233,0.35,0.761,9.63
3218.406342211083,0.675,1.43,9.676
3297.5566989782687,1.054,2.191,9.63
3369.357164293842,1.428,2.92,9.7
3480.771332867741,1.743,3.506,9.723
3582.697307632976,1.974,3.898,9.723
3670.2248988828496,2.139,4.135,9.665
3783.2117800501783,2.302,4.331,9.63
3861.7582888393895,2.545,4.63,9.595
3990.6590169287706,2.935,5.138,9.572
4138.044731082666,3.5,5.882,9.537
4297.366116943883,4.219,6.805,9.584
4498.22976237932,5.046,7.805,9.618
4723.421979973921,5.935,8.784,9.607
4961.134227885313,6.856,9.681,9.549
5206.82326089563,7.793,10.474,9.688
5456.672363449464,8.729,11.158,9.746
5750.64855639476,9.637,11.723,9.908
6049.037458379203,10.491,12.159,10.036
6354.592413334807,11.284,12.474,10.291
6627.240063251289,12.025,12.69,10.72
6933.583284033721,12.72,12.83,11.115
7243.296061902749,13.346,12.894,11.799
7543.258622379564,13.857,12.856,12.147
7848.970943184408,14.205,12.689,12.472
8128.359111753061,14.372,12.388,12.588
8408.477256131719,14.381,11.986,12.739
8671.85644292326,14.279,11.53,12.727
8926.83695188884,14.107,11.06,12.785
9174.252811004575,13.873,10.584,12.623
9400.737858933584,13.552,10.086,12.542
9628.492216777542,13.135,9.555,12.472
9829.474377344006,12.635,8.999,12.46
10024.416927149095,12.064,8.426,12.426
10195.21877864268,11.454,7.86,12.275
10380.418515473235,10.906,7.361,12.17
10519.984566366755,10.503,6.979,12.101
10681.886376935552,10.207,6.685,12.136
10835.934590371015,9.875,6.382,11.996
10969.023097891399,9.537,6.086,11.904
11103.378025853897,9.668,6.087,11.892
11237.859595860606,8.067,5.037,11.776
11291.656445264767,5.35,3.313,11.811
