RPM,Hp,Nm,afr
2888.623673823282,0.859,1.977,9.932
2982.1375853150807,1.36,3.066,9.804
3136.071790910088,1.84,4.068,9.746
3279.236070747297,2.252,4.863,9.711
3414.59857594148,2.599,5.44,9.676
3515.55699333512,2.934,5.893,9.63
3653.423694352193,3.325,6.356,9.595
3815.155569933352,3.81,6.916,9.537
4012.8978733071585,4.376,7.561,9.526
4217.603610493854,4.969,8.204,9.56
4439.817646229958,5.536,8.751,9.618
4677.232075955499,6.064,9.171,9.792
4875.817852676496,6.594,9.517,10.013
5094.057501332408,7.198,9.889,10.082
5347.886447518047,7.941,10.369,10.465
5618.723887591157,8.844,10.98,11.034
5894.624568086639,9.872,11.669,11.37
6187.8435277924755,10.951,12.338,11.637
6502.96866162109,11.985,12.887,11.741
6816.922021828361,12.89,13.242,11.915
7134.120595707121,13.603,13.369,12.159
7444.918908885782,14.086,13.272,12.356
7741.627631859936,14.337,12.981,12.542
8040.289786847265,14.386,12.55,12.646
8315.610547800543,14.284,12.039,12.646
8575.14760521592,14.085,11.498,12.646
8826.381510210262,13.827,10.96,12.507
9070.060317895246,13.524,10.435,12.507
9302.89644274843,13.176,9.919,12.379
9511.111562083062,12.788,9.409,12.344
9713.502189832217,12.374,8.913,12.217
9922.03515049007,11.953,8.44,12.147
10084.10886996806,11.516,7.983,12.136
10271.79818463068,11.043,7.528,12.008
10431.787539509145,10.543,7.076,12.02
10578.919725308324,10.051,6.649,11.938
10721.403803165951,9.557,6.238,11.973
10860.060679195798,9.048,5.834,11.857
10981.522879874748,8.555,5.454,11.753
11097.903221984985,8.23,5.189,11.648
11217.137769271974,8.309,5.181,11.602
11340.020128110262,8.038,4.964,11.602
11443.092921901934,7.625,4.665,11.66
