RPM,Hp,Nm,afr
4112.66979571184,-0.135,-0.161,17.437
4112.67543027541,0.536,0.96,17.495
4112.675993731767,1.748,2.919,17.39
4169.718303598529,3.43,5.568,17.483
4302.183097965487,5.362,8.514,17.622
4448.528168951479,7.241,11.251,17.657
4608.937323937402,8.801,13.358,17.75
4764.4148591543035,9.91,14.648,17.634
4919.399232394305,10.595,15.202,17.356
5067.996261267601,10.999,15.279,16.474
5222.29258387324,11.292,15.172,16.23
5383.496864021127,11.597,15.084,15.755
5545.391939923239,11.957,15.087,15.152
5694.680039062747,12.358,15.158,14.398
5855.38349686402,12.761,15.237,14.038
6029.904546869502,13.138,15.28,13.644
6167.779187081317,13.477,15.273,13.412
6340.01735532785,13.774,15.218,13.203
6484.001735532785,14.014,15.106,12.948
6656.850877778632,14.161,14.911,12.913
6794.558327214482,14.182,14.606,12.82
6941.427663707365,14.076,14.195,12.866
7095.551217074963,13.881,13.719,12.936
7218.710051284962,13.637,13.22,12.878
7345.1104417482165,13.347,12.709,12.959
7478.173016005809,13.013,12.186,12.982
7605.563780473822,12.702,11.709,12.924
7713.373279455834,12.549,11.386,12.901
7819.224651889246,12.62,11.272,12.82
7943.894296174842,12.79,11.254,12.832
8070.445767645654,12.811,11.121,12.762
8178.171337327946,12.568,10.77,12.797
8277.676288662375,12.169,10.295,12.727
8376.359178162013,11.773,9.835,12.797
8474.959861478173,11.382,9.398,12.948
8573.552324175987,10.979,8.969,13.04
8653.129880304923,10.742,8.685,13.052
8743.482002115,10.688,8.553,13.354
8834.911580493192,10.882,8.619,13.33
8920.11087635918,10.174,7.992,13.423
8985.673059466904,8.873,6.911,13.47
