RPM,Hp,Nm,afr
3619.006338661896,0.312,0.662,18.063
3625.9851409084436,0.947,1.855,18.075
3658.3731619781684,1.891,3.572,18.075
3724.9922457752823,3.093,5.686,18.075
3826.724576690205,4.438,7.961,18.075
3950.982316823951,5.777,10.11,18.075
4090.168654217607,6.977,11.892,18.075
4237.185879506268,7.955,13.177,18.075
4384.98619358443,8.696,13.964,18.075
4526.526788372528,9.241,14.358,18.075
4680.1174675696475,9.662,14.512,18.075
4822.237098869642,10.026,14.56,18.075
4988.561738055979,10.382,14.594,18.075
5138.292793523908,10.75,14.649,18.075
5280.026462450983,11.132,14.726,18.075
5446.312505400028,11.519,14.807,17.042
5602.377729413243,11.899,14.874,16.346
5744.7448151948465,12.261,14.913,16.149
5917.432227998359,12.591,14.913,15.5
6061.461532658991,12.876,14.863,15.059
6215.301082843364,13.1,14.751,14.78
6370.121657580112,13.255,14.573,14.525
6518.702306603082,13.344,14.338,14.363
6660.320934885661,13.383,14.065,14.305
6813.919417432228,13.393,13.778,14.247
6930.68771639111,13.387,13.492,14.084
7081.801166005309,13.358,13.202,13.968
7223.673074347011,13.283,12.887,13.922
7332.930687716392,13.136,12.524,13.852
7470.617012433612,12.916,12.112,13.69
7592.132123778574,12.662,11.686,13.678
7699.3540574482795,12.432,11.297,13.516
7817.822729688492,12.261,10.976,13.365
7918.401991278709,12.126,10.702,13.319
8036.20639631097,11.946,10.405,13.319
8143.057259349408,11.635,10.011,13.365
8229.79868368142,11.171,9.502,13.307
8327.20522048082,10.622,8.937,13.481
8413.002212188927,10.117,8.422,13.435
8484.96219304988,9.75,8.035,13.516
8574.552557333158,9.555,7.8,13.597
8653.22990362064,9.554,7.727,13.644
8730.815948108542,9.74,7.803,13.76
8814.630890585504,9.978,7.92,13.794
8899.068722861368,10.035,7.895,13.852
8983.568844117124,9.836,7.672,13.899
9049.061109763827,9.46,7.318,13.841
9125.328646187652,9.194,7.052,13.818
9196.335681520177,9.372,7.129,13.76
9273.15469491258,9.143,6.903,13.458
9337.878849772951,8.743,6.555,13.551
